Benchmark,L2 Access Per 1K Instr.,L2 Miss Per 1K Instr.,L2 Miss Rate (%),L2 Hit Rate (%),L3 Access Per 1K Instr.,L3 Miss Per 1K Instr.,L3 Miss Rate (%),L3 Hit Rate (%)
527.cam4_r,39.33166666666667,11.029166666666667,28.04,71.96,11.063372947336575,1.773844511966616,16.033125000000002,83.966875
519.lbm_r,103.25625000000001,30.331874999999993,29.38,70.62,32.18985646534511,23.984229123650685,74.515625,25.484375
510.parest_r,82.16791666666667,32.86458333333333,40.0,60.0,36.93649885468867,4.36088297358419,11.807500000000001,88.1925
521.wrf_r,43.29333333333333,15.756041666666667,36.39,63.61,18.567857605911804,7.842138511181465,42.2375,57.7625
526.blender_r,27.41916666666667,8.336875,30.41,69.59,8.05895691934074,2.0048184233054864,24.8775,75.1225
508.namd_r,37.49729166666666,0.93,2.48,97.52,0.927911245726295,0.5131748333860675,55.30500000000001,44.69499999999999
549.fotonik3d_r,86.01812499999998,39.80208333333333,46.27,53.73,44.851916131909256,37.043864787640835,82.59124999999997,17.408749999999998
511.povray_r,37.486250000000005,0.060416666666666646,0.16,99.84,0.060944927515051366,0.0024594598763802975,4.114374999999999,95.885625
544.nab_r,18.17375,1.2752083333333333,7.02,92.98,1.4096163048443706,0.6843963601540792,48.6675,51.3325
503.bwaves_r,124.93895833333328,51.71062499999999,41.39,58.61,58.43806325222712,55.394999180225334,94.793125,5.206875
507.cactuBSSN_r,233.60000000000002,20.635208333333328,8.83,91.17,23.411606165906104,15.673832665401113,66.949375,33.050625
538.imagick_r,13.691875000000005,0.40729166666666666,2.97,97.03,0.35443588550974514,0.00819210676432437,2.29375,97.70625000000001
554.roms_r,138.9,62.76083333333332,45.18,54.82,70.97301039933028,29.883851878783457,42.108125,57.891875
