Benchmark,Cycles [Billions],Instr. [Billions],Branches [Billions],Loads [Billions],Stores [Billions],IPC
527.cam4_r,252.014128011,513.804768049,70.216042237,147.558880039,55.418500571,2.04
519.lbm_r,466.467690439,293.53322969,3.605251827,100.663503114,56.438655796,0.63
510.parest_r,349.526399868,536.046060099,83.175388265,251.933889654,13.090960516,1.53
521.wrf_r,222.465367161,375.113468669,40.958472693,141.509259302,37.250472263,1.69
526.blender_r,185.626999099,355.272029683,46.526975008,160.023271593,25.616295803,1.91
508.namd_r,172.78226787,420.017961772,11.292860556,146.871161971,33.701345925,2.43
549.fotonik3d_r,707.402549787,297.172619026,8.809321248,158.758405467,23.85109691,0.42
511.povray_r,259.499985672,619.217783216,97.505602225,241.08433941,95.112155673,2.39
544.nab_r,187.864842168,348.557064294,38.17958298,134.825112527,31.319190749,1.86
503.bwaves_r,128.647854313,48.08036379,2.195538402,22.060626245,3.613591991,0.37
507.cactuBSSN_r,155.38801021,120.384010198,8.565739391,53.797169975,17.400362703,0.77
538.imagick_r,204.293572808,498.068403136,57.305673976,140.916523911,55.715817454,2.44
554.roms_r,389.897578773,247.555082588,22.323617212,105.066883555,25.049463119,0.63
