Benchmark,L2 Access Per 1K Instr.,L2 Miss Per 1K Instr.,L2 Miss Rate (%),L2 Hit Rate (%),L3 Access Per 1K Instr.,L3 Miss Per 1K Instr.,L3 Miss Rate (%),L3 Hit Rate (%)
531.deepsjeng_r,11.56,1.3,11.25,88.75,3.968448013384811,3.076703789929378,77.53,22.47
525.x264_r,10.57,1.95,18.45,81.55,6.10872750854261,3.3373634679735806,54.63,45.37
548.exchange2_r,0.31,0.01,3.23,96.77,0.0156485236864478,0.0022900630019502244,14.63,85.37
505.mcf_r,100.69,52.04,51.68,48.32,202.76229548851512,87.19787572205291,43.0,57.0
541.leela_r,10.78,1.24,11.5,88.5,3.4435248035242907,0.32354606401010216,9.4,90.6
523.xalancbmk_r,111.79,27.99,25.04,74.96,84.99328206170995,13.743817044023826,16.17,83.83
520.omnetpp_r,56.22,32.43,57.68,42.32,99.6163631604636,45.627298295028396,45.8,54.2
502.gcc_r,51.25,15.54,30.32,69.68,89.06438389734164,11.743246511296661,13.19,86.81
500.perlbench_r,16.49,3.04,18.44,81.56,8.528088834048715,2.4762588317115974,29.04,70.96
557.xz_r,17.58,12.51,71.16,28.84,43.40193024536314,23.74088390255209,54.7,45.3
