Benchmark,Cycles [Billions],Instr. [Billions],Branches [Billions],Loads [Billions],Stores [Billions],IPC
531.deepsjeng_r,223.472568345,401.65341202,51.883459566,119.870727026,48.299947105,1.8
525.x264_r,34.239855107,74.104972495,5.450751074,21.339079588,7.802985032,2.16
548.exchange2_r,252.540281854,718.964499491,99.01640603,247.893404937,169.40316726,2.85
505.mcf_r,283.457641296,166.028398159,41.634601921,116.0991472,27.389994627,0.59
541.leela_r,314.907167589,353.938000607,51.161760109,196.734888962,55.686873164,1.12
523.xalancbmk_r,243.451245859,263.211712977,78.327644779,93.988259105,12.120534966,1.08
520.omnetpp_r,455.563229384,227.796338604,46.492369537,116.445717995,56.53822326,0.5
502.gcc_r,28.216738614,33.662070929,7.666795017,11.576897045,5.458276945,1.19
500.perlbench_r,134.991064527,306.138570529,56.060218533,92.095761003,59.649887794,2.27
557.xz_r,111.57566542,73.238050198,9.546465215,33.69313557,11.377820533,0.66
