AVG,1,3,6,24,48
500.perlbench_r,148.51,165.53,164.08,163.82,163.98
502.gcc_r,37.1,41.67,42.73,45.16,45.13
505.mcf_r,271.57,299.71,334.35,375.87,374.31
520.omnetpp_r,450.35,586.32,582.44,624.88,625.23
523.xalancbmk_r,249.31,295.25,300.3,304.27,304.33
525.x264_r,35.78,34.71,34.78,35.05,45.39
531.deepsjeng_r,245.77,247.81,248.74,249.63,249.31
541.leela_r,413.35,415.21,415.42,416.17,416.35
548.exchange2_r,339.3,339.4,339.57,340.2,339.78
557.xz_r,123.47,156.0,158.47,164.53,164.92

MAX,1,3,6,24,48
500.perlbench_r,148.51,165.53,165.47,166.6,166.71
502.gcc_r,37.1,41.8,42.92,45.77,45.85
505.mcf_r,271.57,301.4,335.25,378.89,378.24
520.omnetpp_r,450.35,587.01,597.67,633.37,632.41
523.xalancbmk_r,249.31,303.13,306.1,307.78,308.48
525.x264_r,35.78,34.71,34.79,35.1,45.48
531.deepsjeng_r,245.77,248.19,249.15,250.09,249.87
541.leela_r,413.35,415.47,415.84,416.67,421.36
548.exchange2_r,339.3,339.52,339.75,343.81,341.99
557.xz_r,123.47,156.32,158.71,165.33,165.67
