Benchmark,L2 Access Per 1K Instr.,L2 Miss Per 1K Instr.,L2 Miss Rate (%),L2 Hit Rate (%),L3 Access Per 1K Instr.,L3 Miss Per 1K Instr.,L3 Miss Rate (%),L3 Hit Rate (%)
623.xalancbmk_s,114.33,35.15,30.74,69.26,35.779222902498894,1.918452838314602,5.36,94.64
631.deepsjeng_s,12.72,1.85,14.54,85.46,2.664638889535782,2.112058253647596,79.26,20.74
648.exchange2_s,0.33,0.0,0.0,100.0,0.03337110739389774,0.002653103898989712,7.95,92.05
625.x264_s,10.86,1.96,18.05,81.95,2.1877745962886737,0.9176361900520718,41.94,58.06
620.omnetpp_s,86.43,47.64,55.12,44.88,47.51223721368693,17.98094576358619,37.84,62.16
602.gcc_s,76.93,24.68,32.08,67.92,27.576669862477175,14.461860378489895,52.44,47.56
600.perlbench_s,16.62,2.93,17.63,82.37,3.076964732516789,0.15080952997686473,4.9,95.1
657.xz_s,15.826250000000002,7.082083333333332,44.75,55.25,7.065099230537637,1.8916813131770245,26.249374999999997,73.750625
605.mcf_s,192.49,99.23,51.55,48.45,113.34803734843764,31.33955402539978,27.65,72.35
641.leela_s,7.98,0.83,10.4,89.6,0.9342005465272992,0.020385089137881427,2.18,97.82
