Benchmark,Cycles [Billions],Instr. [Billions],Branches [Billions],Loads [Billions],Stores [Billions],IPC
623.xalancbmk_s,211.437726099,256.348008759,76.466009524,93.087609307,12.825136907,1.21
631.deepsjeng_s,241.232859015,428.508596975,55.294904648,127.350668505,52.863297381,1.78
648.exchange2_s,270.894827972,771.976928902,106.21219274,264.324669356,179.764941494,2.85
625.x264_s,28.603974258,64.040170426,4.666981391,18.516165468,6.708295202,2.24
620.omnetpp_s,409.620471739,254.490455072,51.931161537,129.723268541,63.165132018,0.62
602.gcc_s,212.310282459,326.154691551,91.79467669,114.553978419,20.959715664,1.54
600.perlbench_s,119.594116454,306.241999475,56.145910548,93.223110525,60.461990493,2.56
657.xz_s,1112.406280481,1416.784791038,208.466201135,577.011532056,177.396632964,1.27
605.mcf_s,415.748641431,320.821992261,82.697384879,221.298221735,36.283622889,0.77
641.leela_s,345.193414562,390.952030972,57.258043744,216.302821096,61.050316419,1.13
