Metric Name,Cumulative
$TSC,5297441772756.0
$APerf,6301072558537.0
$MPerf,5272758521576.0
$CpuCycles,6288076119643.0
$RetdInst,14277537256610.0
$RetdBrInst,2611091489330.0
$LoadDisp,4294135666792.0
$StoreDisp,2786611452182.0
$RetdUops,13073751005679.0
$IRPerfL2,8262058477487.0
$L2AccessWithoutPF,125713375143.0
$L2AccessFromICMiss,79848745775.0
$L2AccessFromDCMiss,42645885931.0
$L2PFHitinL2,5524669486.0
$L2PFMissL2HitinL3,3730958533.0
$L2PFMissL2L3,2625948036.0
$IRPerfL22,7600177175519.0
$L2MissIC,4932524683.0
$L2MissDC,11635690726.0
$L2HitIC,66149155456.0
$L2HitDC,26518092973.0
$L2HitWithoutPF,94880098057.0
$IRPerfL3,4687965500173.0
$L3Clock,2073994071242.0
$L3Access,41960798075.0
$L3Miss,12046124638.0
$L3MissLatency,278298074487.0
$L3MissByType,12045726446.0
$DFTscMem,216536969544.0
$DFCS0Umc0ReqRd,1876480970.0
$DFCS0Umc0ReqWr,138415734.0
$DFCS1Umc1ReqRd,1875088300.0
$DFCS1Umc1ReqWr,138383593.0
$DFCS2Umc2ReqRd,1207655899.0
$DFCS2Umc2ReqWr,89707190.0
$DFCS3Umc3ReqRd,1208981138.0
$DFCS3Umc3ReqWr,89331946.0
$DFCS4Umc4ReqRd,931118294.0
$DFCS4Umc4ReqWr,68077515.0
$DFCS5Umc5ReqRd,929943348.0
$DFCS5Umc5ReqWr,67785324.0
$DFCS6Umc6ReqRd,107941254.0
$DFCS6Umc6ReqWr,7903660.0
$DFCS7Umc7ReqRd,108414684.0
$DFCS7Umc7ReqWr,8025701.0
