Metric Name,Cumulative
$TSC,23681070700
$APerf,28283048796
$MPerf,23666230056
$CpuCycles,28216738614
$RetdInst,33662070929
$RetdBrInst,7666795017
$LoadDisp,11576897045
$StoreDisp,5458276945
$RetdUops,30743574079
$IRPerfL2,37868902826
$L2AccessWithoutPF,1605930602
$L2AccessFromICMiss,714082822
$L2AccessFromDCMiss,843971687
$L2PFHitinL2,148378503
$L2PFMissL2HitinL3,155838501
$L2PFMissL2L3,30724360
$IRPerfL22,11023112129
$L2MissIC,6775228
$L2MissDC,110188973
$L2HitIC,145010751
$L2HitDC,177142645
$L2HitWithoutPF,327815665
$IRPerfL3,62393587312
$L3Clock,44465557072
$L3Access,2998091608
$L3Miss,395301997
$L3MissLatency,10459650067
$L3MissByType,396743503
$DFTscMem,38238227496
$DFCS0Umc0ReqRd,525366977
$DFCS0Umc0ReqWr,110486476
$DFCS1Umc1ReqRd,528417250
$DFCS1Umc1ReqWr,110678902
$DFCS2Umc2ReqRd,335260347
$DFCS2Umc2ReqWr,72573533
$DFCS3Umc3ReqRd,336466468
$DFCS3Umc3ReqWr,72870284
$DFCS4Umc4ReqRd,451831325
$DFCS4Umc4ReqWr,85605123
$DFCS5Umc5ReqRd,453142596
$DFCS5Umc5ReqWr,85737336
$DFCS6Umc6ReqRd,51184648
$DFCS6Umc6ReqWr,7886467
$DFCS7Umc7ReqRd,52024387
$DFCS7Umc7ReqWr,7984772
