Metric Name,Cumulative
Utilization (%),99.23520833333328
Eff Freq,3342.8189583333333
IPC (Sys + User),1.2925000000000002
CPI (Sys + User),0.7754166666666665
Pipeline Utilization (%),16.149166666666666
L2 Access (pti),56.85250000000001
L2 Access from IC Miss (pti),22.04104166666667
L2 Access from DC Miss (pti),24.25854166666667
L2 Access from HWPF (pti),8.860416666666667
L2 Miss (pti),14.89354166666667
L2 Miss from IC Miss (pti),1.6127083333333336
L2 Miss from DC Miss (pti),8.507291666666665
L2 Miss from HWPF (pti),4.773750000000001
L2 Hit (pti),35.37437500000001
L2 Hit from IC Miss (pti),14.17854166666667
L2 Hit from DC Miss (pti),16.178749999999997
L2 Hit from HWPF (pti),4.085416666666667
L3 Access,50534297118.0
L3 Miss,6502017643.0
L3 Hit Rate (%),87.12812499999998
L3 Miss Rate (%),12.871875
Ave L3 Miss Latency,423.599375
Total Mem Bw (GB/s),30.53
Total Mem RdBw (GB/s),25.32
Total Mem WrBw (GB/s),5.21
Mem Ch-A RdBw (GB/s),4.82
Mem Ch-A WrBw (GB/s),1.05
Mem Ch-B RdBw (GB/s),4.84
Mem Ch-B WrBw (GB/s),1.05
Mem Ch-C RdBw (GB/s),3.0
Mem Ch-C WrBw (GB/s),0.65
Mem Ch-D RdBw (GB/s),2.98
Mem Ch-D WrBw (GB/s),0.65
Mem Ch-E RdBw (GB/s),0.51
Mem Ch-E WrBw (GB/s),0.08
Mem Ch-F RdBw (GB/s),0.51
Mem Ch-F WrBw (GB/s),0.08
Mem Ch-G RdBw (GB/s),4.33
Mem Ch-G WrBw (GB/s),0.8300000000000001
Mem Ch-H RdBw (GB/s),4.33
Mem Ch-H WrBw (GB/s),0.8300000000000001
