Metric Name,Cumulative
$TSC,5189414776700.0
$APerf,6187396168035.0
$MPerf,5178072542356.0
$CpuCycles,6176956877736.0
$RetdInst,2220268765342.0
$RetdBrInst,99334443372.0
$LoadDisp,1029145523153.0
$StoreDisp,162379323615.0
$RetdUops,2261234882786.0
$IRPerfL2,1422212590873.0
$L2AccessWithoutPF,97684422944.0
$L2AccessFromICMiss,869358208.0
$L2AccessFromDCMiss,94862438309.0
$L2PFHitinL2,12879122420.0
$L2PFMissL2HitinL3,2674664587.0
$L2PFMissL2L3,64336586624.0
$IRPerfL22,1084990673202.0
$L2MissIC,626152377.0
$L2MissDC,4319782430.0
$L2HitIC,37777141.0
$L2HitDC,60375298552.0
$L2HitWithoutPF,61819043807.0
$IRPerfL3,750488224458.0
$L3Clock,2074261543760.0
$L3Access,129748206546.0
$L3Miss,122991786436.0
$L3MissLatency,5851328346088.0
$L3MissByType,123005169602.0
$DFTscMem,218054653712.0
$DFCS0Umc0ReqRd,15441438755.0
$DFCS0Umc0ReqWr,2267868576.0
$DFCS1Umc1ReqRd,15444743135.0
$DFCS1Umc1ReqWr,2269024593.0
$DFCS2Umc2ReqRd,9622791252.0
$DFCS2Umc2ReqWr,1370882530.0
$DFCS3Umc3ReqRd,9620667104.0
$DFCS3Umc3ReqWr,1373119407.0
$DFCS4Umc4ReqRd,7684854535.0
$DFCS4Umc4ReqWr,1121367134.0
$DFCS5Umc5ReqRd,7691185382.0
$DFCS5Umc5ReqWr,1120912525.0
$DFCS6Umc6ReqRd,1027708106.0
$DFCS6Umc6ReqWr,150999739.0
$DFCS7Umc7ReqRd,1005169691.0
$DFCS7Umc7ReqWr,148986196.0
