Metric Name,Cumulative
Utilization (%),99.91
Eff Freq,3347.37
IPC (Sys + User),0.37
CPI (Sys + User),2.68
Pipeline Utilization (%),4.67
L2 Access (pti),126.58
L2 Access from IC Miss (pti),0.63
L2 Access from DC Miss (pti),67.71
L2 Access from HWPF (pti),56.68
L2 Miss (pti),52.23
L2 Miss from IC Miss (pti),0.59
L2 Miss from DC Miss (pti),4.09
L2 Miss from HWPF (pti),47.55
L2 Hit (pti),67.38
L2 Hit from IC Miss (pti),0.04
L2 Hit from DC Miss (pti),57.29
L2 Hit from HWPF (pti),9.13
L3 Access,8060355543.00
L3 Miss,7631504670.00
L3 Hit Rate (%),5.32
L3 Miss Rate (%),94.68
Ave L3 Miss Latency,757.82
Total Mem Bw (GB/s),63.59
Total Mem RdBw (GB/s),55.49
Total Mem WrBw (GB/s),8.10
Mem Ch-A RdBw (GB/s),12.68
Mem Ch-A WrBw (GB/s),1.87
Mem Ch-B RdBw (GB/s),12.69
Mem Ch-B WrBw (GB/s),1.87
Mem Ch-C RdBw (GB/s),7.89
Mem Ch-C WrBw (GB/s),1.14
Mem Ch-D RdBw (GB/s),7.90
Mem Ch-D WrBw (GB/s),1.14
Mem Ch-E RdBw (GB/s),0.87
Mem Ch-E WrBw (GB/s),0.13
Mem Ch-F RdBw (GB/s),0.84
Mem Ch-F WrBw (GB/s),0.12
Mem Ch-G RdBw (GB/s),6.31
Mem Ch-G WrBw (GB/s),0.92
Mem Ch-H RdBw (GB/s),6.31
Mem Ch-H WrBw (GB/s),0.92
