Metric Name,Cumulative
$TSC,11574301876340.0
$APerf,13687167657140.0
$MPerf,11450712284004.0
$CpuCycles,13665008353276.0
$RetdInst,8098182793278.0
$RetdBrInst,1909030865339.0
$LoadDisp,5537859324026.0
$StoreDisp,1510425934578.0
$RetdUops,6811155716181.0
$IRPerfL2,5401443027384.0
$L2AccessWithoutPF,463629720256.0
$L2AccessFromICMiss,2210822598.0
$L2AccessFromDCMiss,460522351611.0
$L2PFHitinL2,15859906115.0
$L2PFMissL2HitinL3,37635301962.0
$L2PFMissL2L3,39031877176.0
$IRPerfL22,4874966446596.0
$L2MissIC,1963351624.0
$L2MissDC,170240360880.0
$L2HitIC,51771147.0
$L2HitDC,197400699967.0
$L2HitWithoutPF,197690409951.0
$IRPerfL3,2747844511954.0
$L3Clock,4657710560454.0
$L3Access,516712805926.0
$L3Miss,218826413674.0
$L3MissLatency,7334204902570.0
$L3MissByType,218711218729.0
$DFTscMem,487360928684.0
$DFCS0Umc0ReqRd,26937947826.0
$DFCS0Umc0ReqWr,4689917730.0
$DFCS1Umc1ReqRd,26922621439.0
$DFCS1Umc1ReqWr,4688475765.0
$DFCS2Umc2ReqRd,17434680085.0
$DFCS2Umc2ReqWr,2635238413.0
$DFCS3Umc3ReqRd,17409416373.0
$DFCS3Umc3ReqWr,2626648025.0
$DFCS4Umc4ReqRd,15583393861.0
$DFCS4Umc4ReqWr,1897464904.0
$DFCS5Umc5ReqRd,15586538535.0
$DFCS5Umc5ReqWr,1900010623.0
$DFCS6Umc6ReqRd,2091792398.0
$DFCS6Umc6ReqWr,281639004.0
$DFCS7Umc7ReqRd,2079886569.0
$DFCS7Umc7ReqWr,279824361.0
