Metric Name,Cumulative
Utilization (%),99.86
Eff Freq,3348.76
IPC (Sys + User),0.59
CPI (Sys + User),1.71
Pipeline Utilization (%),7.32
L2 Access (pti),100.69
L2 Access from IC Miss (pti),0.40
L2 Access from DC Miss (pti),82.91
L2 Access from HWPF (pti),17.13
L2 Miss (pti),52.04
L2 Miss from IC Miss (pti),0.38
L2 Miss from DC Miss (pti),37.61
L2 Miss from HWPF (pti),14.05
L2 Hit (pti),39.95
L2 Hit from IC Miss (pti),0.01
L2 Hit from DC Miss (pti),36.87
L2 Hit from HWPF (pti),3.08
L3 Access,33664299127.00
L3 Miss,14477323629.00
L3 Hit Rate (%),57.00
L3 Miss Rate (%),43.00
Ave L3 Miss Latency,543.46
Total Mem Bw (GB/s),52.59
Total Mem RdBw (GB/s),45.64
Total Mem WrBw (GB/s),6.95
Mem Ch-A RdBw (GB/s),9.90
Mem Ch-A WrBw (GB/s),1.72
Mem Ch-B RdBw (GB/s),9.89
Mem Ch-B WrBw (GB/s),1.72
Mem Ch-C RdBw (GB/s),6.41
Mem Ch-C WrBw (GB/s),0.96
Mem Ch-D RdBw (GB/s),6.42
Mem Ch-D WrBw (GB/s),0.96
Mem Ch-E RdBw (GB/s),0.77
Mem Ch-E WrBw (GB/s),0.11
Mem Ch-F RdBw (GB/s),0.75
Mem Ch-F WrBw (GB/s),0.11
Mem Ch-G RdBw (GB/s),5.76
Mem Ch-G WrBw (GB/s),0.69
Mem Ch-H RdBw (GB/s),5.75
Mem Ch-H WrBw (GB/s),0.69
