Metric Name,Cumulative
$TSC,130860903572
$APerf,155933849266
$MPerf,130761260896
$CpuCycles,155388010210
$RetdInst,120384010198
$RetdBrInst,8565739391
$LoadDisp,53797169975
$StoreDisp,17400362703
$RetdUops,122417152143
$IRPerfL2,62676534640
$L2AccessWithoutPF,11352242112
$L2AccessFromICMiss,467962901
$L2AccessFromDCMiss,11154917786
$L2PFHitinL2,2463512242
$L2PFMissL2HitinL3,166030244
$L2PFMissL2L3,459134158
$IRPerfL22,64779993805
$L2MissIC,56069794
$L2MissDC,663684762
$L2HitIC,452023397
$L2HitDC,10940177329
$L2HitWithoutPF,11725728045
$IRPerfL3,153848547873
$L3Clock,200299765968
$L3Access,10302158389
$L3Miss,6917032644
$L3MissLatency,212623258989
$L3MissByType,6917284238
$DFTscMem,167136415852
$DFCS0Umc0ReqRd,6885031633
$DFCS0Umc0ReqWr,2198055332
$DFCS1Umc1ReqRd,6884461983
$DFCS1Umc1ReqWr,2197985942
$DFCS2Umc2ReqRd,5604827494
$DFCS2Umc2ReqWr,1817193616
$DFCS3Umc3ReqRd,5597704084
$DFCS3Umc3ReqWr,1814918473
$DFCS4Umc4ReqRd,5661289786
$DFCS4Umc4ReqWr,1850099245
$DFCS5Umc5ReqRd,5659501491
$DFCS5Umc5ReqWr,1849643419
$DFCS6Umc6ReqRd,2544731784
$DFCS6Umc6ReqWr,855343936
$DFCS7Umc7ReqRd,2654292504
$DFCS7Umc7ReqWr,888374682
