Metric Name,Cumulative
$TSC,6952697685668.0
$APerf,8275900608732.0
$MPerf,6921770449580.0
$CpuCycles,8260207145142.0
$RetdInst,20100284045379.0
$RetdBrInst,513000942505.0
$LoadDisp,7046851815533.0
$StoreDisp,1629874959975.0
$RetdUops,20215099398621.0
$IRPerfL2,11752604484075.0
$L2AccessWithoutPF,330503350486.0
$L2AccessFromICMiss,852644155.0
$L2AccessFromDCMiss,328196731552.0
$L2PFHitinL2,102451607958.0
$L2PFMissL2HitinL3,2586987476.0
$L2PFMissL2L3,5034766133.0
$IRPerfL22,1.8446471354760536e+19
$L2MissIC,465374396.0
$L2MissDC,2052233349.0
$L2HitIC,209219265.0
$L2HitDC,248210627573.0
$L2HitWithoutPF,250191964082.0
$IRPerfL3,6438123075152.0
$L3Clock,2651417089368.0
$L3Access,18651279608.0
$L3Miss,10314959916.0
$L3MissLatency,232299371713.0
$L3MissByType,10311496608.0
$DFTscMem,272226201576.0
$DFCS0Umc0ReqRd,1728040994.0
$DFCS0Umc0ReqWr,287804843.0
$DFCS1Umc1ReqRd,1727684933.0
$DFCS1Umc1ReqWr,287609071.0
$DFCS2Umc2ReqRd,1120742796.0
$DFCS2Umc2ReqWr,180007341.0
$DFCS3Umc3ReqRd,1118569934.0
$DFCS3Umc3ReqWr,179971664.0
$DFCS4Umc4ReqRd,1092274482.0
$DFCS4Umc4ReqWr,175770106.0
$DFCS5Umc5ReqRd,1099141161.0
$DFCS5Umc5ReqWr,176294899.0
$DFCS6Umc6ReqRd,124486936.0
$DFCS6Umc6ReqWr,20407013.0
$DFCS7Umc7ReqRd,122238379.0
$DFCS7Umc7ReqWr,20237458.0
