Metric Name,Cumulative
Utilization (%),99.55520833333331
Eff Freq,3347.7747916666667
IPC (Sys + User),2.4341666666666666
CPI (Sys + User),0.41020833333333345
Pipeline Utilization (%),30.417500000000015
L2 Access (pti),37.49729166666666
L2 Access from IC Miss (pti),0.07250000000000002
L2 Access from DC Miss (pti),27.933958333333333
L2 Access from HWPF (pti),9.367083333333332
L2 Miss (pti),0.93
L2 Miss from IC Miss (pti),0.05249999999999999
L2 Miss from DC Miss (pti),0.2293750000000002
L2 Miss from HWPF (pti),0.6489583333333331
L2 Hit (pti),36.67541666666666
L2 Hit from IC Miss (pti),0.02270833333333334
L2 Hit from DC Miss (pti),27.735416666666662
L2 Hit from HWPF (pti),8.719166666666668
L3 Access,18651279608.0
L3 Miss,10314959916.0
L3 Hit Rate (%),44.69499999999999
L3 Miss Rate (%),55.30500000000001
Ave L3 Miss Latency,360.43812499999996
Total Mem Bw (GB/s),12.46
Total Mem RdBw (GB/s),10.71
Total Mem WrBw (GB/s),1.75
Mem Ch-A RdBw (GB/s),2.2699999999999996
Mem Ch-A WrBw (GB/s),0.38
Mem Ch-B RdBw (GB/s),2.2699999999999996
Mem Ch-B WrBw (GB/s),0.38
Mem Ch-C RdBw (GB/s),1.48
Mem Ch-C WrBw (GB/s),0.24
Mem Ch-D RdBw (GB/s),1.48
Mem Ch-D WrBw (GB/s),0.24
Mem Ch-E RdBw (GB/s),0.16
Mem Ch-E WrBw (GB/s),0.02
Mem Ch-F RdBw (GB/s),0.16
Mem Ch-F WrBw (GB/s),0.02
Mem Ch-G RdBw (GB/s),1.45
Mem Ch-G WrBw (GB/s),0.22999999999999998
Mem Ch-H RdBw (GB/s),1.43
Mem Ch-H WrBw (GB/s),0.22999999999999998
