Metric Name,Cumulative
$TSC,14032801590808.0
$APerf,16705847567145.0
$MPerf,14014708094240.0
$CpuCycles,16675488303281.0
$RetdInst,25863807807321.0
$RetdBrInst,4020864371804.0
$LoadDisp,12147736822598.0
$StoreDisp,658820365205.0
$RetdUops,22247899677912.0
$IRPerfL2,16156127664417.0
$L2AccessWithoutPF,814729930609.0
$L2AccessFromICMiss,4409408057.0
$L2AccessFromDCMiss,809548891730.0
$L2PFHitinL2,78521889016.0
$L2PFMissL2HitinL3,385823316040.0
$L2PFMissL2L3,45982797608.0
$IRPerfL22,18113489455632.0
$L2MissIC,4698755912.0
$L2MissDC,105143888366.0
$L2HitIC,1158025197.0
$L2HitDC,701258239777.0
$L2HitWithoutPF,703928983115.0
$IRPerfL3,8831297752055.0
$L3Clock,5637085732788.0
$L3Access,955318507453.0
$L3Miss,112789039099.0
$L3MissLatency,2950966544467.0
$L3MissByType,112809979597.0
$DFTscMem,597783378892.0
$DFCS0Umc0ReqRd,14233022856.0
$DFCS0Umc0ReqWr,1236068007.0
$DFCS1Umc1ReqRd,14234250300.0
$DFCS1Umc1ReqWr,1237534360.0
$DFCS2Umc2ReqRd,9569703095.0
$DFCS2Umc2ReqWr,426345557.0
$DFCS3Umc3ReqRd,9585415827.0
$DFCS3Umc3ReqWr,425945847.0
$DFCS4Umc4ReqRd,11372562141.0
$DFCS4Umc4ReqWr,485539802.0
$DFCS5Umc5ReqRd,11381761881.0
$DFCS5Umc5ReqWr,486528316.0
$DFCS6Umc6ReqRd,1398577469.0
$DFCS6Umc6ReqWr,59558439.0
$DFCS7Umc7ReqRd,1397918616.0
$DFCS7Umc7ReqWr,59494444.0
