Metric Name,Cumulative
Utilization (%),99.93
Eff Freq,3347.09
IPC (Sys + User),1.53
CPI (Sys + User),0.65
Pipeline Utilization (%),19.17
L2 Access (pti),86.02
L2 Access from IC Miss (pti),0.18
L2 Access from DC Miss (pti),52.54
L2 Access from HWPF (pti),33.09
L2 Miss (pti),34.68
L2 Miss from IC Miss (pti),0.27
L2 Miss from DC Miss (pti),5.96
L2 Miss from HWPF (pti),28.45
L2 Hit (pti),46.07
L2 Hit from IC Miss (pti),0.06
L2 Hit from DC Miss (pti),41.34
L2 Hit from HWPF (pti),4.64
L3 Access,59110278451.00
L3 Miss,7150997665.00
L3 Hit Rate (%),87.90
L3 Miss Rate (%),12.10
Ave L3 Miss Latency,422.51
Total Mem Bw (GB/s),23.30
Total Mem RdBw (GB/s),21.99
Total Mem WrBw (GB/s),1.32
Mem Ch-A RdBw (GB/s),4.31
Mem Ch-A WrBw (GB/s),0.37
Mem Ch-B RdBw (GB/s),4.31
Mem Ch-B WrBw (GB/s),0.37
Mem Ch-C RdBw (GB/s),2.87
Mem Ch-C WrBw (GB/s),0.13
Mem Ch-D RdBw (GB/s),2.87
Mem Ch-D WrBw (GB/s),0.13
Mem Ch-E RdBw (GB/s),0.40
Mem Ch-E WrBw (GB/s),0.02
Mem Ch-F RdBw (GB/s),0.40
Mem Ch-F WrBw (GB/s),0.02
Mem Ch-G RdBw (GB/s),3.41
Mem Ch-G WrBw (GB/s),0.14
Mem Ch-H RdBw (GB/s),3.41
Mem Ch-H WrBw (GB/s),0.14
