Metric Name,Cumulative
$TSC,220446699564
$APerf,259844432402
$MPerf,217620554816
$CpuCycles,259499985672
$RetdInst,619217783216
$RetdBrInst,97505602225
$LoadDisp,241084339410
$StoreDisp,95112155673
$RetdUops,651051463777
$IRPerfL2,552221118920
$L2AccessWithoutPF,20473590356
$L2AccessFromICMiss,3040059219
$L2AccessFromDCMiss,16626408423
$L2PFHitinL2,10301517
$L2PFMissL2HitinL3,567491
$L2PFMissL2L3,21892
$IRPerfL22,507024983126
$L2MissIC,7152409
$L2MissDC,17106790
$L2HitIC,2822843078
$L2HitDC,15470386302
$L2HitWithoutPF,19223010069
$IRPerfL3,659674975374
$L3Clock,279606146004
$L3Access,110392378
$L3Miss,4918665
$L3MissLatency,305633786
$L3MissByType,5731508
$DFTscMem,230788674844
$DFCS0Umc0ReqRd,3979326
$DFCS0Umc0ReqWr,555912
$DFCS1Umc1ReqRd,3662127
$DFCS1Umc1ReqWr,554969
$DFCS2Umc2ReqRd,3493294
$DFCS2Umc2ReqWr,401709
$DFCS3Umc3ReqRd,4037004
$DFCS3Umc3ReqWr,400094
$DFCS4Umc4ReqRd,3778539
$DFCS4Umc4ReqWr,474330
$DFCS5Umc5ReqRd,4010531
$DFCS5Umc5ReqWr,472366
$DFCS6Umc6ReqRd,2176908
$DFCS6Umc6ReqWr,464398
$DFCS7Umc7ReqRd,2135730
$DFCS7Umc7ReqWr,464569
