Metric Name,Cumulative
Utilization (%),99.08437500000002
Eff Freq,3340.0170833333327
IPC (Sys + User),2.3745833333333333
CPI (Sys + User),0.4200000000000003
Pipeline Utilization (%),29.685
L2 Access (pti),37.486250000000005
L2 Access from IC Miss (pti),5.613541666666667
L2 Access from DC Miss (pti),30.280208333333334
L2 Access from HWPF (pti),0.01875000000000001
L2 Miss (pti),0.060416666666666646
L2 Miss from IC Miss (pti),0.017291666666666674
L2 Miss from DC Miss (pti),0.04020833333333335
L2 Miss from HWPF (pti),0.0
L2 Hit (pti),37.50895833333335
L2 Hit from IC Miss (pti),5.585000000000002
L2 Hit from DC Miss (pti),30.27291666666667
L2 Hit from HWPF (pti),0.01625000000000001
L3 Access,1914100155.0
L3 Miss,77244370.0
L3 Hit Rate (%),95.885625
L3 Miss Rate (%),4.114374999999999
Ave L3 Miss Latency,824.91875
Total Mem Bw (GB/s),0.07
Total Mem RdBw (GB/s),0.05
Total Mem WrBw (GB/s),0.01
Mem Ch-A RdBw (GB/s),0.0
Mem Ch-A WrBw (GB/s),0.0
Mem Ch-B RdBw (GB/s),0.0
Mem Ch-B WrBw (GB/s),0.0
Mem Ch-C RdBw (GB/s),0.0
Mem Ch-C WrBw (GB/s),0.0
Mem Ch-D RdBw (GB/s),0.0
Mem Ch-D WrBw (GB/s),0.0
Mem Ch-E RdBw (GB/s),0.0
Mem Ch-E WrBw (GB/s),0.0
Mem Ch-F RdBw (GB/s),0.0
Mem Ch-F WrBw (GB/s),0.0
Mem Ch-G RdBw (GB/s),0.0
Mem Ch-G WrBw (GB/s),0.0
Mem Ch-H RdBw (GB/s),0.0
Mem Ch-H WrBw (GB/s),0.0
