Metric Name,Cumulative
$TSC,18505173896188.0
$APerf,21937035047191.0
$MPerf,18384005498068.0
$CpuCycles,21898214508002.0
$RetdInst,13319634222681.0
$RetdBrInst,160077712166.0
$LoadDisp,4577792128289.0
$StoreDisp,2568262749379.0
$RetdUops,13287443617306.0
$IRPerfL2,9195092648504.0
$L2AccessWithoutPF,488179874417.0
$L2AccessFromICMiss,3363870322.0
$L2AccessFromDCMiss,484228289991.0
$L2PFHitinL2,209788387465.0
$L2PFMissL2HitinL3,63439722583.0
$L2PFMissL2L3,188022163051.0
$IRPerfL22,8143446066981.0
$L2MissIC,2898758445.0
$L2MissDC,21406132629.0
$L2HitIC,82709322.0
$L2HitDC,394306526972.0
$L2HitWithoutPF,394634403479.0
$IRPerfL3,4601466752015.0
$L3Clock,7400095631812.0
$L3Access,428757113799.0
$L3Miss,319461159040.0
$L3MissLatency,18715598572238.0
$L3MissByType,319476888718.0
$DFTscMem,775713601180.0
$DFCS0Umc0ReqRd,39982272076.0
$DFCS0Umc0ReqWr,27067227340.0
$DFCS1Umc1ReqRd,39990686904.0
$DFCS1Umc1ReqWr,27076074722.0
$DFCS2Umc2ReqRd,27173171132.0
$DFCS2Umc2ReqWr,18359277127.0
$DFCS3Umc3ReqRd,27166257381.0
$DFCS3Umc3ReqWr,18356315258.0
$DFCS4Umc4ReqRd,24096704140.0
$DFCS4Umc4ReqWr,16256329530.0
$DFCS5Umc5ReqRd,24102372573.0
$DFCS5Umc5ReqWr,16253887376.0
$DFCS6Umc6ReqRd,4463888554.0
$DFCS6Umc6ReqWr,2890513714.0
$DFCS7Umc7ReqRd,4387288068.0
$DFCS7Umc7ReqWr,2836723183.0
