Metric Name,Cumulative
Utilization (%),99.34479166666665
Eff Freq,3341.1408333333343
IPC (Sys + User),0.6085416666666666
CPI (Sys + User),1.6447916666666673
Pipeline Utilization (%),7.606666666666663
L2 Access (pti),103.25625000000001
L2 Access from IC Miss (pti),0.3662499999999998
L2 Access from DC Miss (pti),52.65958333333333
L2 Access from HWPF (pti),50.16708333333333
L2 Miss (pti),30.331874999999993
L2 Miss from IC Miss (pti),0.3562499999999999
L2 Miss from DC Miss (pti),2.6279166666666667
L2 Miss from HWPF (pti),27.347499999999997
L2 Hit (pti),71.27791666666667
L2 Hit from IC Miss (pti),0.012500000000000006
L2 Hit from DC Miss (pti),48.41895833333334
L2 Hit from HWPF (pti),22.817708333333332
L3 Access,428757113799.0
L3 Miss,319461159040.0
L3 Hit Rate (%),25.484375
L3 Miss Rate (%),74.515625
Ave L3 Miss Latency,937.3068749999999
Total Mem Bw (GB/s),148.06
Total Mem RdBw (GB/s),88.41
Total Mem WrBw (GB/s),59.650000000000006
Mem Ch-A RdBw (GB/s),18.47
Mem Ch-A WrBw (GB/s),12.5
Mem Ch-B RdBw (GB/s),18.48
Mem Ch-B WrBw (GB/s),12.51
Mem Ch-C RdBw (GB/s),12.55
Mem Ch-C WrBw (GB/s),8.49
Mem Ch-D RdBw (GB/s),12.55
Mem Ch-D WrBw (GB/s),8.48
Mem Ch-E RdBw (GB/s),2.06
Mem Ch-E WrBw (GB/s),1.33
Mem Ch-F RdBw (GB/s),2.0300000000000002
Mem Ch-F WrBw (GB/s),1.31
Mem Ch-G RdBw (GB/s),11.129999999999999
Mem Ch-G WrBw (GB/s),7.51
Mem Ch-H RdBw (GB/s),11.129999999999999
Mem Ch-H WrBw (GB/s),7.51
