Metric Name,Cumulative
$TSC,381356756620
$APerf,455847160937
$MPerf,381403731380
$CpuCycles,455563229384
$RetdInst,227796338604
$RetdBrInst,46492369537
$LoadDisp,116445717995
$StoreDisp,56538223260
$RetdUops,233331103388
$IRPerfL2,161802300599
$L2AccessWithoutPF,7601775885
$L2AccessFromICMiss,795585247
$L2AccessFromDCMiss,5480114067
$L2PFHitinL2,493171168
$L2PFMissL2HitinL3,525505310
$L2PFMissL2L3,476665342
$IRPerfL22,137813087759
$L2MissIC,247801477
$L2MissDC,3367807530
$L2HitIC,421039932
$L2HitDC,1830962176
$L2HitWithoutPF,2824923256
$IRPerfL3,239363034135
$L3Clock,475162704900
$L3Access,22692242793
$L3Miss,10393731492
$L3MissLatency,260292580618
$L3MissByType,10401055563
$DFTscMem,402453228100
$DFCS0Umc0ReqRd,10494059834
$DFCS0Umc0ReqWr,2987339998
$DFCS1Umc1ReqRd,10504388668
$DFCS1Umc1ReqWr,2987404095
$DFCS2Umc2ReqRd,6868624946
$DFCS2Umc2ReqWr,1945573108
$DFCS3Umc3ReqRd,6865669286
$DFCS3Umc3ReqWr,1946835350
$DFCS4Umc4ReqRd,5967516341
$DFCS4Umc4ReqWr,1696571261
$DFCS5Umc5ReqRd,5965455055
$DFCS5Umc5ReqWr,1699418490
$DFCS6Umc6ReqRd,877228055
$DFCS6Umc6ReqWr,247215888
$DFCS7Umc7ReqRd,860476994
$DFCS7Umc7ReqWr,242865430
