Metric Name,Cumulative
Utilization (%),99.91875000000003
Eff Freq,3346.399999999999
IPC (Sys + User),0.4954166666666666
CPI (Sys + User),2.018125000000001
Pipeline Utilization (%),6.194583333333331
L2 Access (pti),56.61916666666664
L2 Access from IC Miss (pti),4.9508333333333345
L2 Access from DC Miss (pti),34.17854166666667
L2 Access from HWPF (pti),9.335208333333332
L2 Miss (pti),32.434999999999995
L2 Miss from IC Miss (pti),1.7545833333333336
L2 Miss from DC Miss (pti),24.446666666666673
L2 Miss from HWPF (pti),6.233750000000001
L2 Hit (pti),23.969375
L2 Hit from IC Miss (pti),3.1799999999999997
L2 Hit from DC Miss (pti),13.454166666666667
L2 Hit from HWPF (pti),3.1016666666666666
L3 Access,371417564382.0
L3 Miss,168043558984.0
L3 Hit Rate (%),54.75562500000001
L3 Miss Rate (%),45.24437499999999
Ave L3 Miss Latency,399.429375
Total Mem Bw (GB/s),55.480000000000004
Total Mem RdBw (GB/s),43.2
Total Mem WrBw (GB/s),12.27
Mem Ch-A RdBw (GB/s),9.39
Mem Ch-A WrBw (GB/s),2.67
Mem Ch-B RdBw (GB/s),9.39
Mem Ch-B WrBw (GB/s),2.67
Mem Ch-C RdBw (GB/s),6.140000000000001
Mem Ch-C WrBw (GB/s),1.74
Mem Ch-D RdBw (GB/s),6.140000000000001
Mem Ch-D WrBw (GB/s),1.74
Mem Ch-E RdBw (GB/s),0.77
Mem Ch-E WrBw (GB/s),0.22
Mem Ch-F RdBw (GB/s),0.76
Mem Ch-F WrBw (GB/s),0.22
Mem Ch-G RdBw (GB/s),5.32
Mem Ch-G WrBw (GB/s),1.51
Mem Ch-H RdBw (GB/s),5.32
Mem Ch-H WrBw (GB/s),1.52
