Metric Name,Cumulative
$TSC,186691566796
$APerf,222869584669
$MPerf,186593684228
$CpuCycles,222465367161
$RetdInst,375113468669
$RetdBrInst,40958472693
$LoadDisp,141509259302
$StoreDisp,37250472263
$RetdUops,370861702165
$IRPerfL2,257187385105
$L2AccessWithoutPF,7432815946
$L2AccessFromICMiss,227857691
$L2AccessFromDCMiss,7107166866
$L2PFHitinL2,601016051
$L2PFMissL2HitinL3,1987692584
$L2PFMissL2L3,1083976162
$IRPerfL22,224888839710
$L2MissIC,92994316
$L2MissDC,797205548
$L2HitIC,115278387
$L2HitDC,5090523508
$L2HitWithoutPF,5268086061
$IRPerfL3,381408097349
$L3Clock,229625968568
$L3Access,20349960319
$L3Miss,8658736034
$L3MissLatency,335274636322
$L3MissByType,8658162095
$DFTscMem,194902528912
$DFCS0Umc0ReqRd,8721260939
$DFCS0Umc0ReqWr,4355844670
$DFCS1Umc1ReqRd,8722480139
$DFCS1Umc1ReqWr,4358067109
$DFCS2Umc2ReqRd,5703841012
$DFCS2Umc2ReqWr,2851283503
$DFCS3Umc3ReqRd,5706826670
$DFCS3Umc3ReqWr,2851122026
$DFCS4Umc4ReqRd,5061855692
$DFCS4Umc4ReqWr,2535274854
$DFCS5Umc5ReqRd,5061659474
$DFCS5Umc5ReqWr,2535900884
$DFCS6Umc6ReqRd,687312340
$DFCS6Umc6ReqWr,342603344
$DFCS7Umc7ReqRd,678069702
$DFCS7Umc7ReqWr,338952869
