Metric Name,Cumulative
Utilization (%),100.04
Eff Freq,3346.00
IPC (Sys + User),1.08
CPI (Sys + User),0.92
Pipeline Utilization (%),13.51
L2 Access (pti),111.79
L2 Access from IC Miss (pti),9.72
L2 Access from DC Miss (pti),77.60
L2 Access from HWPF (pti),21.26
L2 Miss (pti),27.99
L2 Miss from IC Miss (pti),1.16
L2 Miss from DC Miss (pti),16.95
L2 Miss from HWPF (pti),9.88
L2 Hit (pti),72.60
L2 Hit from IC Miss (pti),6.39
L2 Hit from DC Miss (pti),52.78
L2 Hit from HWPF (pti),11.37
L3 Access,22371227363.00
L3 Miss,3617533627.00
L3 Hit Rate (%),83.83
L3 Miss Rate (%),16.17
Ave L3 Miss Latency,405.95
Total Mem Bw (GB/s),17.39
Total Mem RdBw (GB/s),14.93
Total Mem WrBw (GB/s),2.45
Mem Ch-A RdBw (GB/s),3.29
Mem Ch-A WrBw (GB/s),0.56
Mem Ch-B RdBw (GB/s),3.29
Mem Ch-B WrBw (GB/s),0.56
Mem Ch-C RdBw (GB/s),2.28
Mem Ch-C WrBw (GB/s),0.34
Mem Ch-D RdBw (GB/s),2.28
Mem Ch-D WrBw (GB/s),0.34
Mem Ch-E RdBw (GB/s),0.20
Mem Ch-E WrBw (GB/s),0.04
Mem Ch-F RdBw (GB/s),0.20
Mem Ch-F WrBw (GB/s),0.04
Mem Ch-G RdBw (GB/s),1.70
Mem Ch-G WrBw (GB/s),0.29
Mem Ch-H RdBw (GB/s),1.70
Mem Ch-H WrBw (GB/s),0.29
