Metric Name,Cumulative
$TSC,28612370332
$APerf,34166347594
$MPerf,28615413316
$CpuCycles,34239855107
$RetdInst,74104972495
$RetdBrInst,5450751074
$LoadDisp,21339079588
$StoreDisp,7802985032
$RetdUops,76625929761
$IRPerfL2,55765291672
$L2AccessWithoutPF,490379231
$L2AccessFromICMiss,205651648
$L2AccessFromDCMiss,269136014
$L2PFHitinL2,51609189
$L2PFMissL2HitinL3,17462052
$L2PFMissL2L3,29762093
$IRPerfL22,3832604847
$L2MissIC,534460
$L2MissDC,3696153
$L2HitIC,11227091
$L2HitDC,15116044
$L2HitWithoutPF,28793570
$IRPerfL3,77663984325
$L3Clock,35461389212
$L3Access,452687084
$L3Miss,247315228
$L3MissLatency,6678667356
$L3MissByType,247298297
$DFTscMem,31600459548
$DFCS0Umc0ReqRd,317213690
$DFCS0Umc0ReqWr,117662280
$DFCS1Umc1ReqRd,317939879
$DFCS1Umc1ReqWr,117953010
$DFCS2Umc2ReqRd,87279389
$DFCS2Umc2ReqWr,33524254
$DFCS3Umc3ReqRd,86158881
$DFCS3Umc3ReqWr,33033166
$DFCS4Umc4ReqRd,99704455
$DFCS4Umc4ReqWr,44682813
$DFCS5Umc5ReqRd,100619935
$DFCS5Umc5ReqWr,45083729
$DFCS6Umc6ReqRd,9616137
$DFCS6Umc6ReqWr,4308469
$DFCS7Umc7ReqRd,8979888
$DFCS7Umc7ReqWr,3934361
