Metric Name,Cumulative
Utilization (%),100.01
Eff Freq,3343.16
IPC (Sys + User),2.16
CPI (Sys + User),0.46
Pipeline Utilization (%),27.05
L2 Access (pti),10.57
L2 Access from IC Miss (pti),3.69
L2 Access from DC Miss (pti),4.83
L2 Access from HWPF (pti),1.77
L2 Miss (pti),1.95
L2 Miss from IC Miss (pti),0.14
L2 Miss from DC Miss (pti),0.96
L2 Miss from HWPF (pti),0.85
L2 Hit (pti),8.44
L2 Hit from IC Miss (pti),2.93
L2 Hit from DC Miss (pti),3.94
L2 Hit from HWPF (pti),0.93
L3 Access,452687084.00
L3 Miss,247315228.00
L3 Hit Rate (%),45.37
L3 Miss Rate (%),54.63
Ave L3 Miss Latency,432.10
Total Mem Bw (GB/s),8.10
Total Mem RdBw (GB/s),5.83
Total Mem WrBw (GB/s),2.27
Mem Ch-A RdBw (GB/s),1.80
Mem Ch-A WrBw (GB/s),0.67
Mem Ch-B RdBw (GB/s),1.80
Mem Ch-B WrBw (GB/s),0.67
Mem Ch-C RdBw (GB/s),0.49
Mem Ch-C WrBw (GB/s),0.19
Mem Ch-D RdBw (GB/s),0.49
Mem Ch-D WrBw (GB/s),0.19
Mem Ch-E RdBw (GB/s),0.05
Mem Ch-E WrBw (GB/s),0.02
Mem Ch-F RdBw (GB/s),0.05
Mem Ch-F WrBw (GB/s),0.02
Mem Ch-G RdBw (GB/s),0.57
Mem Ch-G WrBw (GB/s),0.26
Mem Ch-H RdBw (GB/s),0.57
Mem Ch-H WrBw (GB/s),0.25
