Metric Name,Cumulative
$TSC,7346583166776.0
$APerf,8769161365651.0
$MPerf,7342297569936.0
$CpuCycles,8750764947651.0
$RetdInst,16552526325195.0
$RetdBrInst,2193576338983.0
$LoadDisp,7519748399785.0
$StoreDisp,1188192733478.0
$RetdUops,15695197122878.0
$IRPerfL2,10199278694318.0
$L2AccessWithoutPF,220878527417.0
$L2AccessFromICMiss,12522190182.0
$L2AccessFromDCMiss,200667227446.0
$L2PFHitinL2,25062484259.0
$L2PFMissL2HitinL3,25955117411.0
$L2PFMissL2L3,7650085584.0
$IRPerfL22,9615866739478.0
$L2MissIC,4130161992.0
$L2MissDC,44278285272.0
$L2HitIC,6885461974.0
$L2HitDC,104235549903.0
$L2HitWithoutPF,116285956206.0
$IRPerfL3,5450809713659.0
$L3Clock,2844453640488.0
$L3Access,133396096561.0
$L3Miss,33184809729.0
$L3MissLatency,953092423753.0
$L3MissByType,33178872553.0
$DFTscMem,299189931152.0
$DFCS0Umc0ReqRd,5205054446.0
$DFCS0Umc0ReqWr,112604062.0
$DFCS1Umc1ReqRd,5201830315.0
$DFCS1Umc1ReqWr,112504822.0
$DFCS2Umc2ReqRd,3178115750.0
$DFCS2Umc2ReqWr,39488017.0
$DFCS3Umc3ReqRd,3179385987.0
$DFCS3Umc3ReqWr,39695101.0
$DFCS4Umc4ReqRd,2953122201.0
$DFCS4Umc4ReqWr,52474404.0
$DFCS5Umc5ReqRd,2955049302.0
$DFCS5Umc5ReqWr,52158838.0
$DFCS6Umc6ReqRd,330798489.0
$DFCS6Umc6ReqWr,8610134.0
$DFCS7Umc7ReqRd,327224536.0
$DFCS7Umc7ReqWr,8605224.0
