Metric Name,Cumulative
$TSC,211135884540
$APerf,252291136394
$MPerf,211137484236
$CpuCycles,252014128011
$RetdInst,513804768049
$RetdBrInst,70216042237
$LoadDisp,147558880039
$StoreDisp,55418500571
$RetdUops,515164956118
$IRPerfL2,325884063370
$L2AccessWithoutPF,9702950979
$L2AccessFromICMiss,1034011430
$L2AccessFromDCMiss,7673305737
$L2PFHitinL2,1435331696
$L2PFMissL2HitinL3,1468272407
$L2PFMissL2L3,356544857
$IRPerfL22,271112295966
$L2MissIC,400116580
$L2MissDC,946240186
$L2HitIC,445156376
$L2HitDC,4919612845
$L2HitWithoutPF,6075453992
$IRPerfL3,525927835136
$L3Clock,258219290418
$L3Access,17523864095
$L3Miss,2920797153
$L3MissLatency,78698231697
$L3MissByType,2921777954
$DFTscMem,210725387628
$DFCS0Umc0ReqRd,3427623696
$DFCS0Umc0ReqWr,1315470742
$DFCS1Umc1ReqRd,3424489508
$DFCS1Umc1ReqWr,1314222950
$DFCS2Umc2ReqRd,2338781116
$DFCS2Umc2ReqWr,853897016
$DFCS3Umc3ReqRd,2338710849
$DFCS3Umc3ReqWr,854802075
$DFCS4Umc4ReqRd,1656433512
$DFCS4Umc4ReqWr,577029430
$DFCS5Umc5ReqRd,1658656965
$DFCS5Umc5ReqWr,578813459
$DFCS6Umc6ReqRd,285677243
$DFCS6Umc6ReqWr,132013373
$DFCS7Umc7ReqRd,286130647
$DFCS7Umc7ReqWr,130742861
