Metric Name,Cumulative
Utilization (%),99.83541666666666
Eff Freq,3340.228333333334
IPC (Sys + User),2.0212500000000007
CPI (Sys + User),0.4939583333333331
Pipeline Utilization (%),25.26770833333333
L2 Access (pti),39.33166666666667
L2 Access from IC Miss (pti),2.9291666666666667
L2 Access from DC Miss (pti),23.375
L2 Access from HWPF (pti),9.805208333333331
L2 Miss (pti),11.029166666666667
L2 Miss from IC Miss (pti),1.5433333333333337
L2 Miss from DC Miss (pti),3.974374999999999
L2 Miss from HWPF (pti),5.511458333333334
L2 Hit (pti),27.416875
L2 Hit from IC Miss (pti),1.4643749999999998
L2 Hit from DC Miss (pti),18.867916666666666
L2 Hit from HWPF (pti),4.293541666666666
L3 Access,276196608831.0
L3 Miss,44283948587.0
L3 Hit Rate (%),83.966875
L3 Miss Rate (%),16.033125000000002
Ave L3 Miss Latency,425.53937500000006
Total Mem Bw (GB/s),36.33
Total Mem RdBw (GB/s),26.549999999999997
Total Mem WrBw (GB/s),9.79
Mem Ch-A RdBw (GB/s),5.83
Mem Ch-A WrBw (GB/s),2.21
Mem Ch-B RdBw (GB/s),5.83
Mem Ch-B WrBw (GB/s),2.21
Mem Ch-C RdBw (GB/s),4.06
Mem Ch-C WrBw (GB/s),1.47
Mem Ch-D RdBw (GB/s),4.06
Mem Ch-D WrBw (GB/s),1.47
Mem Ch-E RdBw (GB/s),0.47
Mem Ch-E WrBw (GB/s),0.21000000000000002
Mem Ch-F RdBw (GB/s),0.47
Mem Ch-F WrBw (GB/s),0.21000000000000002
Mem Ch-G RdBw (GB/s),2.9
Mem Ch-G WrBw (GB/s),1.0
Mem Ch-H RdBw (GB/s),2.9
Mem Ch-H WrBw (GB/s),1.0
