Metric Name,Cumulative
$TSC,171122784196
$APerf,204600973764
$MPerf,171099604200
$CpuCycles,204293572808
$RetdInst,498068403136
$RetdBrInst,57305673976
$LoadDisp,140916523911
$StoreDisp,55715817454
$RetdUops,478519134785
$IRPerfL2,365128696466
$L2AccessWithoutPF,4985309469
$L2AccessFromICMiss,11204120
$L2AccessFromDCMiss,4939229633
$L2PFHitinL2,431054160
$L2PFMissL2HitinL3,99339454
$L2PFMissL2L3,12641600
$IRPerfL22,304805888844
$L2MissIC,2974991
$L2MissDC,18466947
$L2HitIC,6580089
$L2HitDC,3552841835
$L2HitWithoutPF,3575996708
$IRPerfL3,558649004597
$L3Clock,221377850024
$L3Access,554310473
$L3Miss,17415768
$L3MissLatency,487526737
$L3MissByType,17750259
$DFTscMem,187961634056
$DFCS0Umc0ReqRd,173857325
$DFCS0Umc0ReqWr,5876507
$DFCS1Umc1ReqRd,173993888
$DFCS1Umc1ReqWr,5880516
$DFCS2Umc2ReqRd,99963750
$DFCS2Umc2ReqWr,4221892
$DFCS3Umc3ReqRd,99952694
$DFCS3Umc3ReqWr,4214904
$DFCS4Umc4ReqRd,120406761
$DFCS4Umc4ReqWr,27191696
$DFCS5Umc5ReqRd,120680301
$DFCS5Umc5ReqWr,27196050
$DFCS6Umc6ReqRd,9465091
$DFCS6Umc6ReqWr,572675
$DFCS7Umc7ReqRd,9474593
$DFCS7Umc7ReqWr,573071
