Metric Name,Cumulative
Utilization (%),99.99
Eff Freq,3348.24
IPC (Sys + User),2.44
CPI (Sys + User),0.41
Pipeline Utilization (%),30.48
L2 Access (pti),15.14
L2 Access from IC Miss (pti),0.03
L2 Access from DC Miss (pti),13.53
L2 Access from HWPF (pti),1.49
L2 Miss (pti),0.38
L2 Miss from IC Miss (pti),0.01
L2 Miss from DC Miss (pti),0.06
L2 Miss from HWPF (pti),0.31
L2 Hit (pti),12.91
L2 Hit from IC Miss (pti),0.02
L2 Hit from DC Miss (pti),11.66
L2 Hit from HWPF (pti),1.18
L3 Access,554310473.00
L3 Miss,17415768.00
L3 Hit Rate (%),96.86
L3 Miss Rate (%),3.14
Ave L3 Miss Latency,439.45
Total Mem Bw (GB/s),0.84
Total Mem RdBw (GB/s),0.77
Total Mem WrBw (GB/s),0.07
Mem Ch-A RdBw (GB/s),0.17
Mem Ch-A WrBw (GB/s),0.01
Mem Ch-B RdBw (GB/s),0.17
Mem Ch-B WrBw (GB/s),0.01
Mem Ch-C RdBw (GB/s),0.10
Mem Ch-C WrBw (GB/s),0.00
Mem Ch-D RdBw (GB/s),0.10
Mem Ch-D WrBw (GB/s),0.00
Mem Ch-E RdBw (GB/s),0.01
Mem Ch-E WrBw (GB/s),0.00
Mem Ch-F RdBw (GB/s),0.01
Mem Ch-F WrBw (GB/s),0.00
Mem Ch-G RdBw (GB/s),0.12
Mem Ch-G WrBw (GB/s),0.03
Mem Ch-H RdBw (GB/s),0.11
Mem Ch-H WrBw (GB/s),0.03
