Metric Name,Cumulative
$TSC,12763677901548.0
$APerf,15206223325855.0
$MPerf,12720180939900.0
$CpuCycles,15179874502716.0
$RetdInst,17009656968856.0
$RetdBrInst,2477321588639.0
$LoadDisp,9454442283580.0
$StoreDisp,2671474265086.0
$RetdUops,16341392700845.0
$IRPerfL2,11586201596584.0
$L2AccessWithoutPF,107154669127.0
$L2AccessFromICMiss,6790828820.0
$L2AccessFromDCMiss,99115264567.0
$L2PFHitinL2,10262074761.0
$L2PFMissL2HitinL3,5287569251.0
$L2PFMissL2L3,663707729.0
$IRPerfL22,9639560224903.0
$L2MissIC,862712163.0
$L2MissDC,5422181360.0
$L2HitIC,4288361060.0
$L2HitDC,71166644307.0
$L2HitWithoutPF,76305286749.0
$IRPerfL3,5729848576310.0
$L3Clock,5122983476724.0
$L3Access,19392225991.0
$L3Miss,1967484083.0
$L3MissLatency,50063789132.0
$L3MissByType,1973252424.0
$DFTscMem,539612007340.0
$DFCS0Umc0ReqRd,850389166.0
$DFCS0Umc0ReqWr,139813417.0
$DFCS1Umc1ReqRd,853451903.0
$DFCS1Umc1ReqWr,140006021.0
$DFCS2Umc2ReqRd,631251320.0
$DFCS2Umc2ReqWr,118927139.0
$DFCS3Umc3ReqRd,631079536.0
$DFCS3Umc3ReqWr,119041590.0
$DFCS4Umc4ReqRd,480210356.0
$DFCS4Umc4ReqWr,91844331.0
$DFCS5Umc5ReqRd,479618944.0
$DFCS5Umc5ReqWr,91629275.0
$DFCS6Umc6ReqRd,48948371.0
$DFCS6Umc6ReqWr,9062017.0
$DFCS7Umc7ReqRd,48940705.0
$DFCS7Umc7ReqWr,8958626.0
