Metric Name,Cumulative
Utilization (%),99.99
Eff Freq,3346.69
IPC (Sys + User),1.12
CPI (Sys + User),0.89
Pipeline Utilization (%),14.05
L2 Access (pti),10.78
L2 Access from IC Miss (pti),0.55
L2 Access from DC Miss (pti),8.65
L2 Access from HWPF (pti),1.46
L2 Miss (pti),1.24
L2 Miss from IC Miss (pti),0.09
L2 Miss from DC Miss (pti),0.65
L2 Miss from HWPF (pti),0.50
L2 Hit (pti),9.68
L2 Hit from IC Miss (pti),0.47
L2 Hit from DC Miss (pti),8.17
L2 Hit from HWPF (pti),0.95
L3 Access,1218794284.00
L3 Miss,114515247.00
L3 Hit Rate (%),90.60
L3 Miss Rate (%),9.40
Ave L3 Miss Latency,412.13
Total Mem Bw (GB/s),1.72
Total Mem RdBw (GB/s),1.48
Total Mem WrBw (GB/s),0.24
Mem Ch-A RdBw (GB/s),0.31
Mem Ch-A WrBw (GB/s),0.05
Mem Ch-B RdBw (GB/s),0.31
Mem Ch-B WrBw (GB/s),0.05
Mem Ch-C RdBw (GB/s),0.23
Mem Ch-C WrBw (GB/s),0.04
Mem Ch-D RdBw (GB/s),0.23
Mem Ch-D WrBw (GB/s),0.04
Mem Ch-E RdBw (GB/s),0.02
Mem Ch-E WrBw (GB/s),0.00
Mem Ch-F RdBw (GB/s),0.02
Mem Ch-F WrBw (GB/s),0.00
Mem Ch-G RdBw (GB/s),0.18
Mem Ch-G WrBw (GB/s),0.03
Mem Ch-H RdBw (GB/s),0.18
Mem Ch-H WrBw (GB/s),0.03
