Metric Name,Cumulative
$TSC,158121432308
$APerf,188579804921
$MPerf,157567818828
$CpuCycles,187864842168
$RetdInst,348557064294
$RetdBrInst,38179582980
$LoadDisp,134825112527
$StoreDisp,31319190749
$RetdUops,347344046123
$IRPerfL2,249931093531
$L2AccessWithoutPF,3584574324
$L2AccessFromICMiss,16758256
$L2AccessFromDCMiss,3089034024
$L2PFHitinL2,712387612
$L2PFMissL2HitinL3,61504627
$L2PFMissL2L3,143646679
$IRPerfL22,194258632421
$L2MissIC,11131797
$L2MissDC,65230794
$L2HitIC,1949019
$L2HitDC,2275883807
$L2HitWithoutPF,2652188313
$IRPerfL3,364651348895
$L3Clock,196676282890
$L3Access,1407726307
$L3Miss,722512688
$L3MissLatency,16169762663
$L3MissByType,723175859
$DFTscMem,167567263836
$DFCS0Umc0ReqRd,1010585340
$DFCS0Umc0ReqWr,53620380
$DFCS1Umc1ReqRd,1009143639
$DFCS1Umc1ReqWr,53550840
$DFCS2Umc2ReqRd,651754583
$DFCS2Umc2ReqWr,33532400
$DFCS3Umc3ReqRd,651597490
$DFCS3Umc3ReqWr,33418212
$DFCS4Umc4ReqRd,530835588
$DFCS4Umc4ReqWr,21491206
$DFCS5Umc5ReqRd,531526879
$DFCS5Umc5ReqWr,21471814
$DFCS6Umc6ReqRd,50498613
$DFCS6Umc6ReqWr,3360196
$DFCS7Umc7ReqRd,48640583
$DFCS7Umc7ReqWr,3330699
