Metric Name,Cumulative
$TSC,10130930213292.0
$APerf,12067955220287.0
$MPerf,10094995959272.0
$CpuCycles,12046341649063.0
$RetdInst,34322145110301.0
$RetdBrInst,4723213956956.0
$LoadDisp,11824954032022.0
$StoreDisp,8087945530355.0
$RetdUops,32102239232019.0
$IRPerfL2,22093642869789.0
$L2AccessWithoutPF,7674485672.0
$L2AccessFromICMiss,7179412424.0
$L2AccessFromDCMiss,388786375.0
$L2PFHitinL2,13777819.0
$L2PFMissL2HitinL3,8177460.0
$L2PFMissL2L3,3367675.0
$IRPerfL22,19572377408094.0
$L2MissIC,60720664.0
$L2MissDC,52947755.0
$L2HitIC,5986826188.0
$L2HitDC,282736172.0
$L2HitWithoutPF,6366686757.0
$IRPerfL3,11442253039676.0
$L3Clock,4024473604712.0
$L3Access,214961749.0
$L3Miss,32237533.0
$L3MissLatency,1909731223.0
$L3MissByType,34583561.0
$DFTscMem,421970407740.0
$DFCS0Umc0ReqRd,4915983.0
$DFCS0Umc0ReqWr,2250538.0
$DFCS1Umc1ReqRd,4943482.0
$DFCS1Umc1ReqWr,2252340.0
$DFCS2Umc2ReqRd,3182264.0
$DFCS2Umc2ReqWr,1517283.0
$DFCS3Umc3ReqRd,3351667.0
$DFCS3Umc3ReqWr,1506713.0
$DFCS4Umc4ReqRd,2788601.0
$DFCS4Umc4ReqWr,1317045.0
$DFCS5Umc5ReqRd,2899826.0
$DFCS5Umc5ReqWr,1316137.0
$DFCS6Umc6ReqRd,504578.0
$DFCS6Umc6ReqWr,188127.0
$DFCS7Umc7ReqRd,456564.0
$DFCS7Umc7ReqWr,184881.0
