Metric Name,Cumulative
Utilization (%),99.84
Eff Freq,3349.48
IPC (Sys + User),2.85
CPI (Sys + User),0.35
Pipeline Utilization (%),35.59
L2 Access (pti),0.31
L2 Access from IC Miss (pti),0.30
L2 Access from DC Miss (pti),0.01
L2 Access from HWPF (pti),0.00
L2 Miss (pti),0.01
L2 Miss from IC Miss (pti),0.00
L2 Miss from DC Miss (pti),0.00
L2 Miss from HWPF (pti),0.00
L2 Hit (pti),0.26
L2 Hit from IC Miss (pti),0.25
L2 Hit from DC Miss (pti),0.01
L2 Hit from HWPF (pti),0.00
L3 Access,11250733.00
L3 Miss,1646474.00
L3 Hit Rate (%),85.37
L3 Miss Rate (%),14.63
Ave L3 Miss Latency,997.14
Total Mem Bw (GB/s),0.00
Total Mem RdBw (GB/s),0.00
Total Mem WrBw (GB/s),0.00
Mem Ch-A RdBw (GB/s),0.00
Mem Ch-A WrBw (GB/s),0.00
Mem Ch-B RdBw (GB/s),0.00
Mem Ch-B WrBw (GB/s),0.00
Mem Ch-C RdBw (GB/s),0.00
Mem Ch-C WrBw (GB/s),0.00
Mem Ch-D RdBw (GB/s),0.00
Mem Ch-D WrBw (GB/s),0.00
Mem Ch-E RdBw (GB/s),0.00
Mem Ch-E WrBw (GB/s),0.00
Mem Ch-F RdBw (GB/s),0.00
Mem Ch-F WrBw (GB/s),0.00
Mem Ch-G RdBw (GB/s),0.00
Mem Ch-G WrBw (GB/s),0.00
Mem Ch-H RdBw (GB/s),0.00
Mem Ch-H WrBw (GB/s),0.00
