Metric Name,Cumulative
$TSC,593888620976
$APerf,708767172787
$MPerf,593312792828
$CpuCycles,707402549787
$RetdInst,297172619026
$RetdBrInst,8809321248
$LoadDisp,158758405467
$StoreDisp,23851096910
$RetdUops,292879948598
$IRPerfL2,206726288374
$L2AccessWithoutPF,10858023767
$L2AccessFromICMiss,93234519
$L2AccessFromDCMiss,10734984830
$L2PFHitinL2,719487061
$L2PFMissL2HitinL3,1022816493
$L2PFMissL2L3,5181060880
$IRPerfL22,177555890910
$L2MissIC,73090480
$L2MissDC,1677282572
$L2HitIC,22959513
$L2HitDC,6508214157
$L2HitWithoutPF,6530697550
$IRPerfL3,308488198027
$L3Clock,710621713664
$L3Access,39543151266
$L3Miss,32563364671
$L3MissLatency,1811917198859
$L3MissByType,32566015665
$DFTscMem,598530478056
$DFCS0Umc0ReqRd,32930554875
$DFCS0Umc0ReqWr,17583968754
$DFCS1Umc1ReqRd,32934671985
$DFCS1Umc1ReqWr,17584349977
$DFCS2Umc2ReqRd,22674663687
$DFCS2Umc2ReqWr,12075609176
$DFCS3Umc3ReqRd,22670158933
$DFCS3Umc3ReqWr,12075911274
$DFCS4Umc4ReqRd,19866635395
$DFCS4Umc4ReqWr,10579754613
$DFCS5Umc5ReqRd,19864439671
$DFCS5Umc5ReqWr,10579970583
$DFCS6Umc6ReqRd,2739125705
$DFCS6Umc6ReqWr,1447695930
$DFCS7Umc7ReqRd,2685441851
$DFCS7Umc7ReqWr,1416444577
