Metric Name,Cumulative
$TSC,15726239348960.0
$APerf,18749778446288.0
$MPerf,15705835683916.0
$CpuCycles,18716478065178.0
$RetdInst,11571851254005.0
$RetdBrInst,1051823991665.0
$LoadDisp,4915539219678.0
$StoreDisp,1171238147633.0
$RetdUops,11578302583046.0
$IRPerfL2,7317550457314.0
$L2AccessWithoutPF,552122545920.0
$L2AccessFromICMiss,3914774298.0
$L2AccessFromDCMiss,545370511976.0
$L2PFHitinL2,85573716189.0
$L2PFMissL2HitinL3,249867364631.0
$L2PFMissL2L3,128827798791.0
$IRPerfL22,6378687703742.0
$L2MissIC,2901833571.0
$L2MissDC,67295971841.0
$L2HitIC,472497221.0
$L2HitDC,348997957460.0
$L2HitWithoutPF,351188535504.0
$IRPerfL3,1.844646643064836e+19
$L3Clock,6218193076814.0
$L3Access,821289119390.0
$L3Miss,345811488838.0
$L3MissLatency,16168147798166.0
$L3MissByType,345835285956.0
$DFTscMem,649174430044.0
$DFCS0Umc0ReqRd,43080612675.0
$DFCS0Umc0ReqWr,9555453743.0
$DFCS1Umc1ReqRd,43056513178.0
$DFCS1Umc1ReqWr,9553339229.0
$DFCS2Umc2ReqRd,28522455021.0
$DFCS2Umc2ReqWr,6310227384.0
$DFCS3Umc3ReqRd,28523140018.0
$DFCS3Umc3ReqWr,6310048569.0
$DFCS4Umc4ReqRd,23940229805.0
$DFCS4Umc4ReqWr,5294332695.0
$DFCS5Umc5ReqRd,23957139632.0
$DFCS5Umc5ReqWr,5296778673.0
$DFCS6Umc6ReqRd,3083071359.0
$DFCS6Umc6ReqWr,678523806.0
$DFCS7Umc7ReqRd,3022297081.0
$DFCS7Umc7ReqWr,664174381.0
