Metric Name,Cumulative
$TSC,93986599084
$APerf,111919693742
$MPerf,93557668932
$CpuCycles,111575665420
$RetdInst,73238050198
$RetdBrInst,9546465215
$LoadDisp,33693135570
$StoreDisp,11377820533
$RetdUops,66486234908
$IRPerfL2,67712682574
$L2AccessWithoutPF,797372286
$L2AccessFromICMiss,21836493
$L2AccessFromDCMiss,724233050
$L2PFHitinL2,75728368
$L2PFMissL2HitinL3,136764389
$L2PFMissL2L3,180579921
$IRPerfL22,52364873616
$L2MissIC,18020050
$L2MissDC,391752246
$L2HitIC,1939674
$L2HitDC,245176716
$L2HitWithoutPF,275996737
$IRPerfL3,97165324109
$L3Clock,126024987286
$L3Access,3178672746
$L3Miss,1738736047
$L3MissLatency,42036443361
$L3MissByType,1737509748
$DFTscMem,107743743408
$DFCS0Umc0ReqRd,1934950733
$DFCS0Umc0ReqWr,604355612
$DFCS1Umc1ReqRd,1936080591
$DFCS1Umc1ReqWr,604605508
$DFCS2Umc2ReqRd,1452320607
$DFCS2Umc2ReqWr,451892608
$DFCS3Umc3ReqRd,1453949737
$DFCS3Umc3ReqWr,452699304
$DFCS4Umc4ReqRd,1123302736
$DFCS4Umc4ReqWr,351852827
$DFCS5Umc5ReqRd,1123057825
$DFCS5Umc5ReqWr,351623352
$DFCS6Umc6ReqRd,114468834
$DFCS6Umc6ReqWr,35475550
$DFCS7Umc7ReqRd,109678507
$DFCS7Umc7ReqWr,33724531
