Metric Name,Cumulative
$TSC,100108709680
$APerf,119597995462
$MPerf,100072133000
$CpuCycles,119594116454
$RetdInst,306241999475
$RetdBrInst,56145910548
$LoadDisp,93223110525
$StoreDisp,60461990493
$RetdUops,280624773896
$IRPerfL2,303161234758
$L2AccessWithoutPF,4583255671
$L2AccessFromICMiss,2970737460
$L2AccessFromDCMiss,1497701202
$L2PFHitinL2,213126199
$L2PFMissL2HitinL3,225942426
$L2PFMissL2L3,17616831
$IRPerfL22,301937594118
$L2MissIC,192318813
$L2MissDC,449438052
$L2HitIC,2694544521
$L2HitDC,1039561098
$L2HitWithoutPF,3822146605
$IRPerfL3,304226822354
$L3Clock,119031719122
$L3Access,942295832
$L3Miss,46184212
$L3MissLatency,1224318554
$L3MissByType,46565640
$DFTscMem,99329718852
$DFCS0Umc0ReqRd,15315182
$DFCS0Umc0ReqWr,681493
$DFCS1Umc1ReqRd,15336487
$DFCS1Umc1ReqWr,680205
$DFCS2Umc2ReqRd,14731514
$DFCS2Umc2ReqWr,664042
$DFCS3Umc3ReqRd,14547180
$DFCS3Umc3ReqWr,663792
$DFCS4Umc4ReqRd,15047083
$DFCS4Umc4ReqWr,731688
$DFCS5Umc5ReqRd,15275522
$DFCS5Umc5ReqWr,723818
$DFCS6Umc6ReqRd,13473605
$DFCS6Umc6ReqWr,740803
$DFCS7Umc7ReqRd,13309474
$DFCS7Umc7ReqWr,723779
