Metric Name,Cumulative
$TSC,177633902684
$APerf,212317150814
$MPerf,177632394912
$CpuCycles,212310282459
$RetdInst,326154691551
$RetdBrInst,91794676690
$LoadDisp,114553978419
$StoreDisp,20959715664
$RetdUops,267548996244
$IRPerfL2,323980909639
$L2AccessWithoutPF,17961352097
$L2AccessFromICMiss,2132450509
$L2AccessFromDCMiss,15585172689
$L2PFHitinL2,910024985
$L2PFMissL2HitinL3,2726661495
$L2PFMissL2L3,3327148271
$IRPerfL22,323657523223
$L2MissIC,408825611
$L2MissDC,1532338229
$L2HitIC,1768517678
$L2HitDC,12929686100
$L2HitWithoutPF,14839744667
$IRPerfL3,324084177675
$L3Clock,211245428702
$L3Access,8994260253
$L3Miss,4716803611
$L3MissLatency,105457244201
$L3MissByType,4717543563
$DFTscMem,176277001012
$DFCS0Umc0ReqRd,594653858
$DFCS0Umc0ReqWr,14115455
$DFCS1Umc1ReqRd,594291206
$DFCS1Umc1ReqWr,14035320
$DFCS2Umc2ReqRd,599186834
$DFCS2Umc2ReqWr,14264870
$DFCS3Umc3ReqRd,598162260
$DFCS3Umc3ReqWr,14209128
$DFCS4Umc4ReqRd,597373421
$DFCS4Umc4ReqWr,13278031
$DFCS5Umc5ReqRd,597562271
$DFCS5Umc5ReqWr,13259825
$DFCS6Umc6ReqRd,582173689
$DFCS6Umc6ReqWr,13693322
$DFCS7Umc7ReqRd,581409400
$DFCS7Umc7ReqWr,13722772
