Metric Name,Cumulative
Utilization (%),100.00
Eff Freq,3346.73
IPC (Sys + User),1.54
CPI (Sys + User),0.65
Pipeline Utilization (%),19.20
L2 Access (pti),76.93
L2 Access from IC Miss (pti),6.58
L2 Access from DC Miss (pti),48.11
L2 Access from HWPF (pti),21.49
L2 Miss (pti),24.68
L2 Miss from IC Miss (pti),1.26
L2 Miss from DC Miss (pti),4.73
L2 Miss from HWPF (pti),18.69
L2 Hit (pti),48.66
L2 Hit from IC Miss (pti),5.46
L2 Hit from DC Miss (pti),39.95
L2 Hit from HWPF (pti),2.81
L3 Access,8994260253.00
L3 Miss,4716803611.00
L3 Hit Rate (%),47.56
L3 Miss Rate (%),52.44
Ave L3 Miss Latency,357.67
Total Mem Bw (GB/s),4.94
Total Mem RdBw (GB/s),4.82
Total Mem WrBw (GB/s),0.11
Mem Ch-A RdBw (GB/s),0.60
Mem Ch-A WrBw (GB/s),0.01
Mem Ch-B RdBw (GB/s),0.60
Mem Ch-B WrBw (GB/s),0.01
Mem Ch-C RdBw (GB/s),0.61
Mem Ch-C WrBw (GB/s),0.01
Mem Ch-D RdBw (GB/s),0.61
Mem Ch-D WrBw (GB/s),0.01
Mem Ch-E RdBw (GB/s),0.59
Mem Ch-E WrBw (GB/s),0.01
Mem Ch-F RdBw (GB/s),0.59
Mem Ch-F WrBw (GB/s),0.01
Mem Ch-G RdBw (GB/s),0.61
Mem Ch-G WrBw (GB/s),0.01
Mem Ch-H RdBw (GB/s),0.61
Mem Ch-H WrBw (GB/s),0.01
