Metric Name,Cumulative
Utilization (%),99.80062500000001
Eff Freq,3345.7543749999986
IPC (Sys + User),0.7614583333333331
CPI (Sys + User),1.314583333333333
Pipeline Utilization (%),9.524583333333334
L2 Access (pti),49.53187499999999
L2 Access from IC Miss (pti),0.3104166666666666
L2 Access from DC Miss (pti),27.87604166666667
L2 Access from HWPF (pti),21.178124999999998
L2 Miss (pti),21.07666666666667
L2 Miss from IC Miss (pti),0.23354166666666684
L2 Miss from DC Miss (pti),1.4277083333333334
L2 Miss from HWPF (pti),19.414375000000003
L2 Hit (pti),26.449375000000003
L2 Hit from IC Miss (pti),0.1004166666666667
L2 Hit from DC Miss (pti),24.340625000000003
L2 Hit from HWPF (pti),1.763541666666667
L3 Access,40192958073.0
L3 Miss,37836938026.0
L3 Hit Rate (%),5.8725000000000005
L3 Miss Rate (%),94.12749999999998
Ave L3 Miss Latency,765.0300000000001
Total Mem Bw (GB/s),186.54000000000002
Total Mem RdBw (GB/s),162.13
Total Mem WrBw (GB/s),24.41
Mem Ch-A RdBw (GB/s),21.29
Mem Ch-A WrBw (GB/s),3.63
Mem Ch-B RdBw (GB/s),21.27
Mem Ch-B WrBw (GB/s),3.6399999999999997
Mem Ch-C RdBw (GB/s),21.16
Mem Ch-C WrBw (GB/s),2.98
Mem Ch-D RdBw (GB/s),21.130000000000003
Mem Ch-D WrBw (GB/s),2.99
Mem Ch-E RdBw (GB/s),17.88
Mem Ch-E WrBw (GB/s),2.52
Mem Ch-F RdBw (GB/s),18.03
Mem Ch-F WrBw (GB/s),2.54
Mem Ch-G RdBw (GB/s),20.7
Mem Ch-G WrBw (GB/s),3.0700000000000003
Mem Ch-H RdBw (GB/s),20.65
Mem Ch-H WrBw (GB/s),3.06
