Metric Name,Cumulative
$TSC,347800909008
$APerf,415759666952
$MPerf,347804786756
$CpuCycles,415748641431
$RetdInst,320821992261
$RetdBrInst,82697384879
$LoadDisp,221298221735
$StoreDisp,36283622889
$RetdUops,266636360968
$IRPerfL2,317030695430
$L2AccessWithoutPF,41863007661
$L2AccessFromICMiss,150517225
$L2AccessFromDCMiss,41700331160
$L2PFHitinL2,4661467997
$L2PFMissL2HitinL3,11005617491
$L2PFMissL2L3,3495499892
$IRPerfL22,317938760214
$L2MissIC,142463571
$L2MissDC,16864707156
$L2HitIC,4220229
$L2HitDC,19309145209
$L2HitWithoutPF,19316129610
$IRPerfL3,318828172422
$L3Clock,413543845112
$L3Access,36364543161
$L3Miss,10054418159
$L3MissLatency,230297144119
$L3MissByType,10055377708
$DFTscMem,345062810372
$DFCS0Umc0ReqRd,1265707183
$DFCS0Umc0ReqWr,145508862
$DFCS1Umc1ReqRd,1265298572
$DFCS1Umc1ReqWr,145448849
$DFCS2Umc2ReqRd,1233964062
$DFCS2Umc2ReqWr,151713934
$DFCS3Umc3ReqRd,1233430445
$DFCS3Umc3ReqWr,151657506
$DFCS4Umc4ReqRd,1222668511
$DFCS4Umc4ReqWr,136023358
$DFCS5Umc5ReqRd,1223525791
$DFCS5Umc5ReqWr,136126512
$DFCS6Umc6ReqRd,1209422891
$DFCS6Umc6ReqWr,138969095
$DFCS7Umc7ReqRd,1209473222
$DFCS7Umc7ReqWr,138917943
