Metric Name,Cumulative
Utilization (%),100.00
Eff Freq,3347.07
IPC (Sys + User),0.77
CPI (Sys + User),1.30
Pipeline Utilization (%),9.65
L2 Access (pti),192.49
L2 Access from IC Miss (pti),0.47
L2 Access from DC Miss (pti),131.53
L2 Access from HWPF (pti),60.44
L2 Miss (pti),99.23
L2 Miss from IC Miss (pti),0.45
L2 Miss from DC Miss (pti),53.04
L2 Miss from HWPF (pti),45.74
L2 Hit (pti),75.46
L2 Hit from IC Miss (pti),0.01
L2 Hit from DC Miss (pti),60.73
L2 Hit from HWPF (pti),14.70
L3 Access,36364543161.00
L3 Miss,10054418159.00
L3 Hit Rate (%),72.35
L3 Miss Rate (%),27.65
Ave L3 Miss Latency,366.45
Total Mem Bw (GB/s),5.72
Total Mem RdBw (GB/s),5.12
Total Mem WrBw (GB/s),0.59
Mem Ch-A RdBw (GB/s),0.66
Mem Ch-A WrBw (GB/s),0.08
Mem Ch-B RdBw (GB/s),0.66
Mem Ch-B WrBw (GB/s),0.08
Mem Ch-C RdBw (GB/s),0.64
Mem Ch-C WrBw (GB/s),0.08
Mem Ch-D RdBw (GB/s),0.64
Mem Ch-D WrBw (GB/s),0.08
Mem Ch-E RdBw (GB/s),0.63
Mem Ch-E WrBw (GB/s),0.07
Mem Ch-F RdBw (GB/s),0.63
Mem Ch-F WrBw (GB/s),0.07
Mem Ch-G RdBw (GB/s),0.64
Mem Ch-G WrBw (GB/s),0.07
Mem Ch-H RdBw (GB/s),0.63
Mem Ch-H WrBw (GB/s),0.07
