Metric Name,Cumulative
$TSC,2409240289372.0
$APerf,2832017259987.0
$MPerf,2372924104768.0
$CpuCycles,2831069004171.0
$RetdInst,2848633721060.0
$RetdBrInst,227891658673.0
$LoadDisp,1365245059989.0
$StoreDisp,348026217036.0
$RetdUops,3135124460420.0
$IRPerfL2,2800143007961.0
$L2AccessWithoutPF,314156031480.0
$L2AccessFromICMiss,2373827994.0
$L2AccessFromDCMiss,308903358624.0
$L2PFHitinL2,118404399449.0
$L2PFMissL2HitinL3,4988674088.0
$L2PFMissL2L3,11035082366.0
$IRPerfL22,2821225239520.0
$L2MissIC,1475799238.0
$L2MissDC,6156251051.0
$L2HitIC,973501940.0
$L2HitDC,308244943631.0
$L2HitWithoutPF,311987123091.0
$IRPerfL3,919349715140.0
$L3Clock,944927611710.0
$L3Access,24135475448.0
$L3Miss,16956385894.0
$L3MissLatency,692344440245.0
$L3MissByType,16965833619.0
$DFTscMem,99203829900.0
$DFCS0Umc0ReqRd,2155165145.0
$DFCS0Umc0ReqWr,565809395.0
$DFCS1Umc1ReqRd,2156643283.0
$DFCS1Umc1ReqWr,566298964.0
$DFCS2Umc2ReqRd,2188069632.0
$DFCS2Umc2ReqWr,583147818.0
$DFCS3Umc3ReqRd,2190182295.0
$DFCS3Umc3ReqWr,583434953.0
$DFCS4Umc4ReqRd,2277600114.0
$DFCS4Umc4ReqWr,583109557.0
$DFCS5Umc5ReqRd,2277816316.0
$DFCS5Umc5ReqWr,582091169.0
$DFCS6Umc6ReqRd,2002905285.0
$DFCS6Umc6ReqWr,523461265.0
$DFCS7Umc7ReqRd,2029318788.0
$DFCS7Umc7ReqWr,523991121.0
