Metric Name,Cumulative
$TSC,3692988590284.0
$APerf,4397736447814.0
$MPerf,3682074388776.0
$CpuCycles,4396973357615.0
$RetdInst,1525942775537.0
$RetdBrInst,176270984501.0
$LoadDisp,608981624596.0
$StoreDisp,264939462616.0
$RetdUops,1754932342434.0
$IRPerfL2,1292085498831.0
$L2AccessWithoutPF,77596858874.0
$L2AccessFromICMiss,923262413.0
$L2AccessFromDCMiss,76509820534.0
$L2PFHitinL2,30756534271.0
$L2PFMissL2HitinL3,2455236570.0
$L2PFMissL2L3,32553500378.0
$IRPerfL22,1300920152686.0
$L2MissIC,679067897.0
$L2MissDC,9545395764.0
$L2HitIC,257010344.0
$L2HitDC,63064947625.0
$L2HitWithoutPF,63416125575.0
$IRPerfL3,536977728564.0
$L3Clock,1474848363300.0
$L3Access,55327805184.0
$L3Miss,50115633716.0
$L3MissLatency,3005691526398.0
$L3MissByType,50147387475.0
$DFTscMem,154416365684.0
$DFCS0Umc0ReqRd,6265686028.0
$DFCS0Umc0ReqWr,4663956379.0
$DFCS1Umc1ReqRd,6262935813.0
$DFCS1Umc1ReqWr,4659792229.0
$DFCS2Umc2ReqRd,5356295652.0
$DFCS2Umc2ReqWr,3994929504.0
$DFCS3Umc3ReqRd,5362519662.0
$DFCS3Umc3ReqWr,3997786659.0
$DFCS4Umc4ReqRd,5313741148.0
$DFCS4Umc4ReqWr,3961689602.0
$DFCS5Umc5ReqRd,5322784809.0
$DFCS5Umc5ReqWr,3967632558.0
$DFCS6Umc6ReqRd,4468936671.0
$DFCS6Umc6ReqWr,3349535005.0
$DFCS7Umc7ReqRd,4496139475.0
$DFCS7Umc7ReqWr,3348774410.0
