Metric Name,Cumulative
$TSC,342651370124
$APerf,409633632129
$MPerf,342653875480
$CpuCycles,409620471739
$RetdInst,254490455072
$RetdBrInst,51931161537
$LoadDisp,129723268541
$StoreDisp,63165132018
$RetdUops,260421344982
$IRPerfL2,251216302403
$L2AccessWithoutPF,16610939182
$L2AccessFromICMiss,1477581755
$L2AccessFromDCMiss,12617511533
$L2PFHitinL2,2057182209
$L2PFMissL2HitinL3,1537350376
$L2PFMissL2L3,1507644694
$IRPerfL22,248733085061
$L2MissIC,617357482
$L2MissDC,8217547668
$L2HitIC,821948427
$L2HitDC,5416440969
$L2HitWithoutPF,7559578826
$IRPerfL3,252965540428
$L3Clock,407408728122
$L3Access,12091410870
$L3Miss,4575979070
$L3MissLatency,103568101127
$L3MissByType,4577012885
$DFTscMem,339963519812
$DFCS0Umc0ReqRd,576811489
$DFCS0Umc0ReqWr,112656411
$DFCS1Umc1ReqRd,575257412
$DFCS1Umc1ReqWr,113860014
$DFCS2Umc2ReqRd,569114228
$DFCS2Umc2ReqWr,112667254
$DFCS3Umc3ReqRd,568253331
$DFCS3Umc3ReqWr,112541147
$DFCS4Umc4ReqRd,562516304
$DFCS4Umc4ReqWr,112516788
$DFCS5Umc5ReqRd,565802302
$DFCS5Umc5ReqWr,112723387
$DFCS6Umc6ReqRd,556431353
$DFCS6Umc6ReqWr,109966113
$DFCS7Umc7ReqRd,558209341
$DFCS7Umc7ReqWr,109830960
