Metric Name,Cumulative
Utilization (%),100.00
Eff Freq,3347.33
IPC (Sys + User),0.62
CPI (Sys + User),1.61
Pipeline Utilization (%),7.77
L2 Access (pti),86.43
L2 Access from IC Miss (pti),5.88
L2 Access from DC Miss (pti),50.23
L2 Access from HWPF (pti),20.31
L2 Miss (pti),47.64
L2 Miss from IC Miss (pti),2.48
L2 Miss from DC Miss (pti),33.04
L2 Miss from HWPF (pti),12.12
L2 Hit (pti),38.58
L2 Hit from IC Miss (pti),3.30
L2 Hit from DC Miss (pti),21.78
L2 Hit from HWPF (pti),8.19
L3 Access,12091410870.00
L3 Miss,4575979070.00
L3 Hit Rate (%),62.16
L3 Miss Rate (%),37.84
Ave L3 Miss Latency,362.05
Total Mem Bw (GB/s),2.86
Total Mem RdBw (GB/s),2.39
Total Mem WrBw (GB/s),0.47
Mem Ch-A RdBw (GB/s),0.30
Mem Ch-A WrBw (GB/s),0.06
Mem Ch-B RdBw (GB/s),0.30
Mem Ch-B WrBw (GB/s),0.06
Mem Ch-C RdBw (GB/s),0.30
Mem Ch-C WrBw (GB/s),0.06
Mem Ch-D RdBw (GB/s),0.30
Mem Ch-D WrBw (GB/s),0.06
Mem Ch-E RdBw (GB/s),0.29
Mem Ch-E WrBw (GB/s),0.06
Mem Ch-F RdBw (GB/s),0.29
Mem Ch-F WrBw (GB/s),0.06
Mem Ch-G RdBw (GB/s),0.30
Mem Ch-G WrBw (GB/s),0.06
Mem Ch-H RdBw (GB/s),0.30
Mem Ch-H WrBw (GB/s),0.06
