Metric Name,Cumulative
$TSC,5645397056908.0
$APerf,6680535799740.0
$MPerf,5593398716052.0
$CpuCycles,6680118916958.0
$RetdInst,4822318056831.0
$RetdBrInst,948345452425.0
$LoadDisp,2157367143769.0
$StoreDisp,498048336490.0
$RetdUops,5820174273807.0
$IRPerfL2,4818771257480.0
$L2AccessWithoutPF,109364164080.0
$L2AccessFromICMiss,12119823515.0
$L2AccessFromDCMiss,95824901198.0
$L2PFHitinL2,13932126088.0
$L2PFMissL2HitinL3,16907960696.0
$L2PFMissL2L3,7079217605.0
$IRPerfL22,4806786375669.0
$L2MissIC,6674415821.0
$L2MissDC,21640369895.0
$L2HitIC,5427080532.0
$L2HitDC,65728713894.0
$L2HitWithoutPF,72028992824.0
$IRPerfL3,1539642766748.0
$L3Clock,2245464897500.0
$L3Access,61184734237.0
$L3Miss,21470793636.0
$L3MissLatency,1949521911813.0
$L3MissByType,26679492047.0
$DFTscMem,234779334272.0
$DFCS0Umc0ReqRd,2290024875.0
$DFCS0Umc0ReqWr,137685226.0
$DFCS1Umc1ReqRd,2296524926.0
$DFCS1Umc1ReqWr,137674116.0
$DFCS2Umc2ReqRd,2284652202.0
$DFCS2Umc2ReqWr,133144911.0
$DFCS3Umc3ReqRd,2291587990.0
$DFCS3Umc3ReqWr,133246023.0
$DFCS4Umc4ReqRd,2297132402.0
$DFCS4Umc4ReqWr,135264774.0
$DFCS5Umc5ReqRd,2304219493.0
$DFCS5Umc5ReqWr,135270730.0
$DFCS6Umc6ReqRd,2272051755.0
$DFCS6Umc6ReqWr,133622745.0
$DFCS7Umc7ReqRd,2287245370.0
$DFCS7Umc7ReqWr,133677953.0
