Metric Name,Cumulative
Utilization (%),99.07874999999997
Eff Freq,3344.2102083333334
IPC (Sys + User),0.7216666666666667
CPI (Sys + User),1.4125000000000003
Pipeline Utilization (%),9.023333333333335
L2 Access (pti),30.319374999999997
L2 Access from IC Miss (pti),2.551041666666667
L2 Access from DC Miss (pti),19.73479166666667
L2 Access from HWPF (pti),7.7387500000000005
L2 Miss (pti),10.843541666666667
L2 Miss from IC Miss (pti),1.3950000000000002
L2 Miss from DC Miss (pti),4.566249999999999
L2 Miss from HWPF (pti),4.883749999999999
L2 Hit (pti),17.630833333333335
L2 Hit from IC Miss (pti),1.1604166666666667
L2 Hit from DC Miss (pti),13.437083333333334
L2 Hit from HWPF (pti),2.854791666666667
L3 Access,61184734237.0
L3 Miss,21470793636.0
L3 Hit Rate (%),64.363125
L3 Miss Rate (%),35.636875
Ave L3 Miss Latency,1164.660625
Total Mem Bw (GB/s),29.619999999999997
Total Mem RdBw (GB/s),27.980000000000004
Total Mem WrBw (GB/s),1.65
Mem Ch-A RdBw (GB/s),3.49
Mem Ch-A WrBw (GB/s),0.21000000000000002
Mem Ch-B RdBw (GB/s),3.51
Mem Ch-B WrBw (GB/s),0.21000000000000002
Mem Ch-C RdBw (GB/s),3.5
Mem Ch-C WrBw (GB/s),0.2
Mem Ch-D RdBw (GB/s),3.49
Mem Ch-D WrBw (GB/s),0.2
Mem Ch-E RdBw (GB/s),3.46
Mem Ch-E WrBw (GB/s),0.2
Mem Ch-F RdBw (GB/s),3.49
Mem Ch-F WrBw (GB/s),0.2
Mem Ch-G RdBw (GB/s),3.52
Mem Ch-G WrBw (GB/s),0.2
Mem Ch-H RdBw (GB/s),3.5
Mem Ch-H WrBw (GB/s),0.2
