Metric Name,Cumulative
$TSC,176889603548
$APerf,211441373329
$MPerf,176888308604
$CpuCycles,211437726099
$RetdInst,256348008759
$RetdBrInst,76466009524
$LoadDisp,93087609307
$StoreDisp,12825136907
$RetdUops,209187372264
$IRPerfL2,252687793404
$L2AccessWithoutPF,22420169854
$L2AccessFromICMiss,2179560837
$L2AccessFromDCMiss,19356321455
$L2PFHitinL2,3119753324
$L2PFMissL2HitinL3,3141898088
$L2PFMissL2L3,207865553
$IRPerfL22,254728094552
$L2MissIC,367786521
$L2MissDC,5208142607
$L2HitIC,1776926295
$L2HitDC,14171675658
$L2HitWithoutPF,16630015578
$IRPerfL3,254964664098
$L3Clock,210386117804
$L3Access,9171932546
$L3Miss,491791565
$L3MissLatency,11502831185
$L3MissByType,492804449
$DFTscMem,175564757004
$DFCS0Umc0ReqRd,65997749
$DFCS0Umc0ReqWr,11738149
$DFCS1Umc1ReqRd,65759131
$DFCS1Umc1ReqWr,11734336
$DFCS2Umc2ReqRd,62943158
$DFCS2Umc2ReqWr,10623974
$DFCS3Umc3ReqRd,62478946
$DFCS3Umc3ReqWr,10612248
$DFCS4Umc4ReqRd,65316106
$DFCS4Umc4ReqWr,11650166
$DFCS5Umc5ReqRd,65502354
$DFCS5Umc5ReqWr,11687652
$DFCS6Umc6ReqRd,60071694
$DFCS6Umc6ReqWr,10514807
$DFCS7Umc7ReqRd,59860772
$DFCS7Umc7ReqWr,10508245
