Metric Name,Cumulative
$TSC,23930931500
$APerf,28604454694
$MPerf,23927397228
$CpuCycles,28603974258
$RetdInst,64040170426
$RetdBrInst,4666981391
$LoadDisp,18516165468
$StoreDisp,6708295202
$RetdUops,65997609805
$IRPerfL2,62976251578
$L2AccessWithoutPF,572587174
$L2AccessFromICMiss,232179580
$L2AccessFromDCMiss,318894315
$L2PFHitinL2,56687332
$L2PFMissL2HitinL3,27792478
$L2PFMissL2L3,26703588
$IRPerfL22,61093717056
$L2MissIC,9403828
$L2MissDC,57760712
$L2HitIC,209461601
$L2HitDC,242041921
$L2HitWithoutPF,470857330
$IRPerfL3,63691427120
$L3Clock,28460153428
$L3Access,140105458
$L3Miss,58765578
$L3MissLatency,1545654962
$L3MissByType,58897845
$DFTscMem,23748446988
$DFCS0Umc0ReqRd,9883475
$DFCS0Umc0ReqWr,3661963
$DFCS1Umc1ReqRd,9823288
$DFCS1Umc1ReqWr,3661086
$DFCS2Umc2ReqRd,9631001
$DFCS2Umc2ReqWr,3471730
$DFCS3Umc3ReqRd,9551427
$DFCS3Umc3ReqWr,3467753
$DFCS4Umc4ReqRd,9213093
$DFCS4Umc4ReqWr,3317555
$DFCS5Umc5ReqRd,9243611
$DFCS5Umc5ReqWr,3317870
$DFCS6Umc6ReqRd,9087838
$DFCS6Umc6ReqWr,3288185
$DFCS7Umc7ReqRd,9048413
$DFCS7Umc7ReqWr,3286338
