Metric Name,Cumulative
Utilization (%),99.99
Eff Freq,3347.31
IPC (Sys + User),2.24
CPI (Sys + User),0.45
Pipeline Utilization (%),27.99
L2 Access (pti),10.86
L2 Access from IC Miss (pti),3.69
L2 Access from DC Miss (pti),5.06
L2 Access from HWPF (pti),1.77
L2 Miss (pti),1.96
L2 Miss from IC Miss (pti),0.15
L2 Miss from DC Miss (pti),0.95
L2 Miss from HWPF (pti),0.87
L2 Hit (pti),8.61
L2 Hit from IC Miss (pti),3.43
L2 Hit from DC Miss (pti),3.96
L2 Hit from HWPF (pti),0.90
L3 Access,140105458.00
L3 Miss,58765578.00
L3 Hit Rate (%),58.06
L3 Miss Rate (%),41.94
Ave L3 Miss Latency,419.89
Total Mem Bw (GB/s),0.78
Total Mem RdBw (GB/s),0.57
Total Mem WrBw (GB/s),0.21
Mem Ch-A RdBw (GB/s),0.07
Mem Ch-A WrBw (GB/s),0.03
Mem Ch-B RdBw (GB/s),0.07
Mem Ch-B WrBw (GB/s),0.03
Mem Ch-C RdBw (GB/s),0.07
Mem Ch-C WrBw (GB/s),0.03
Mem Ch-D RdBw (GB/s),0.07
Mem Ch-D WrBw (GB/s),0.03
Mem Ch-E RdBw (GB/s),0.07
Mem Ch-E WrBw (GB/s),0.02
Mem Ch-F RdBw (GB/s),0.07
Mem Ch-F WrBw (GB/s),0.02
Mem Ch-G RdBw (GB/s),0.07
Mem Ch-G WrBw (GB/s),0.03
Mem Ch-H RdBw (GB/s),0.07
Mem Ch-H WrBw (GB/s),0.03
