Metric Name,Cumulative
$TSC,7730526670496.0
$APerf,9168685108926.0
$MPerf,7671801662084.0
$CpuCycles,9168350984912.0
$RetdInst,6983539876701.0
$RetdBrInst,1714758378617.0
$LoadDisp,2606740282811.0
$StoreDisp,663780901439.0
$RetdUops,8272657722531.0
$IRPerfL2,6824074998877.0
$L2AccessWithoutPF,163547619886.0
$L2AccessFromICMiss,30494205945.0
$L2AccessFromDCMiss,125459481445.0
$L2PFHitinL2,26882992979.0
$L2PFMissL2HitinL3,28672006809.0
$L2PFMissL2L3,9866016255.0
$IRPerfL22,6845384395385.0
$L2MissIC,15177695622.0
$L2MissDC,16815181775.0
$L2HitIC,15249064182.0
$L2HitDC,103036322082.0
$L2HitWithoutPF,124904112717.0
$IRPerfL3,2316075700486.0
$L3Clock,3071744250420.0
$L3Access,79053143239.0
$L3Miss,19805563963.0
$L3MissLatency,962894843188.0
$L3MissByType,20832533552.0
$DFTscMem,320673093552.0
$DFCS0Umc0ReqRd,2703365450.0
$DFCS0Umc0ReqWr,1104414823.0
$DFCS1Umc1ReqRd,2720531482.0
$DFCS1Umc1ReqWr,1104455419.0
$DFCS2Umc2ReqRd,2645729879.0
$DFCS2Umc2ReqWr,1071527971.0
$DFCS3Umc3ReqRd,2656654264.0
$DFCS3Umc3ReqWr,1071418014.0
$DFCS4Umc4ReqRd,2635170672.0
$DFCS4Umc4ReqWr,1068485685.0
$DFCS5Umc5ReqRd,2634175470.0
$DFCS5Umc5ReqWr,1068292865.0
$DFCS6Umc6ReqRd,2623314959.0
$DFCS6Umc6ReqWr,1071464439.0
$DFCS7Umc7ReqRd,2659634952.0
$DFCS7Umc7ReqWr,1071223642.0
