Metric Name,Cumulative
$TSC,201756543996
$APerf,241238638740
$MPerf,201752917520
$CpuCycles,241232859015
$RetdInst,428508596975
$RetdBrInst,55294904648
$LoadDisp,127350668505
$StoreDisp,52863297381
$RetdUops,419675827256
$IRPerfL2,428463426495
$L2AccessWithoutPF,4442228433
$L2AccessFromICMiss,1928049355
$L2AccessFromDCMiss,2407178964
$L2PFHitinL2,659890774
$L2PFMissL2HitinL3,77919224
$L2PFMissL2L3,268886845
$IRPerfL22,426579091783
$L2MissIC,41905537
$L2MissDC,403804383
$L2HitIC,1872437704
$L2HitDC,1852973540
$L2HitWithoutPF,3812985325
$IRPerfL3,426061018087
$L3Clock,239937636220
$L3Access,1141820672
$L3Miss,905035119
$L3MissLatency,20911844748
$L3MissByType,905961106
$DFTscMem,200222671236
$DFCS0Umc0ReqRd,126631759
$DFCS0Umc0ReqWr,76342570
$DFCS1Umc1ReqRd,126763032
$DFCS1Umc1ReqWr,76329804
$DFCS2Umc2ReqRd,96562826
$DFCS2Umc2ReqWr,48798559
$DFCS3Umc3ReqRd,96327554
$DFCS3Umc3ReqWr,48791804
$DFCS4Umc4ReqRd,92824753
$DFCS4Umc4ReqWr,41174995
$DFCS5Umc5ReqRd,93039157
$DFCS5Umc5ReqWr,41179032
$DFCS6Umc6ReqRd,103588928
$DFCS6Umc6ReqWr,57885631
$DFCS7Umc7ReqRd,103624332
$DFCS7Umc7ReqWr,57902706
