Metric Name,Cumulative
Utilization (%),100.00
Eff Freq,3348.00
IPC (Sys + User),1.78
CPI (Sys + User),0.56
Pipeline Utilization (%),22.20
L2 Access (pti),12.72
L2 Access from IC Miss (pti),4.50
L2 Access from DC Miss (pti),5.62
L2 Access from HWPF (pti),2.35
L2 Miss (pti),1.85
L2 Miss from IC Miss (pti),0.10
L2 Miss from DC Miss (pti),0.95
L2 Miss from HWPF (pti),0.81
L2 Hit (pti),10.48
L2 Hit from IC Miss (pti),4.39
L2 Hit from DC Miss (pti),4.34
L2 Hit from HWPF (pti),1.54
L3 Access,1141820672.00
L3 Miss,905035119.00
L3 Hit Rate (%),20.74
L3 Miss Rate (%),79.26
Ave L3 Miss Latency,369.32
Total Mem Bw (GB/s),1.15
Total Mem RdBw (GB/s),0.75
Total Mem WrBw (GB/s),0.40
Mem Ch-A RdBw (GB/s),0.11
Mem Ch-A WrBw (GB/s),0.07
Mem Ch-B RdBw (GB/s),0.11
Mem Ch-B WrBw (GB/s),0.07
Mem Ch-C RdBw (GB/s),0.09
Mem Ch-C WrBw (GB/s),0.04
Mem Ch-D RdBw (GB/s),0.09
Mem Ch-D WrBw (GB/s),0.04
Mem Ch-E RdBw (GB/s),0.09
Mem Ch-E WrBw (GB/s),0.05
Mem Ch-F RdBw (GB/s),0.09
Mem Ch-F WrBw (GB/s),0.05
Mem Ch-G RdBw (GB/s),0.08
Mem Ch-G WrBw (GB/s),0.04
Mem Ch-H RdBw (GB/s),0.08
Mem Ch-H WrBw (GB/s),0.04
