Metric Name,Cumulative
$TSC,2430574321168.0
$APerf,2406669086410.0
$MPerf,2014007439024.0
$CpuCycles,2404019208412.0
$RetdInst,6974944060638.0
$RetdBrInst,423743102324.0
$LoadDisp,795767062352.0
$StoreDisp,54732169400.0
$RetdUops,6721138035099.0
$IRPerfL2,6506291387863.0
$L2AccessWithoutPF,170931926673.0
$L2AccessFromICMiss,351814058.0
$L2AccessFromDCMiss,170936079763.0
$L2PFHitinL2,21189055350.0
$L2PFMissL2HitinL3,1052265030.0
$L2PFMissL2L3,1551602219.0
$IRPerfL22,5299518490244.0
$L2MissIC,136618944.0
$L2MissDC,1347228396.0
$L2HitIC,159886929.0
$L2HitDC,135887624669.0
$L2HitWithoutPF,136953419217.0
$IRPerfL3,1854285057874.0
$L3Clock,799027397252.0
$L3Access,5183106549.0
$L3Miss,2709991682.0
$L3MissLatency,112324097285.0
$L3MissByType,2803468051.0
$DFTscMem,87010342832.0
$DFCS0Umc0ReqRd,419687807.0
$DFCS0Umc0ReqWr,113457173.0
$DFCS1Umc1ReqRd,414687502.0
$DFCS1Umc1ReqWr,113453239.0
$DFCS2Umc2ReqRd,580372238.0
$DFCS2Umc2ReqWr,152473001.0
$DFCS3Umc3ReqRd,570103655.0
$DFCS3Umc3ReqWr,152779102.0
$DFCS4Umc4ReqRd,360996212.0
$DFCS4Umc4ReqWr,102998862.0
$DFCS5Umc5ReqRd,359785443.0
$DFCS5Umc5ReqWr,102992552.0
$DFCS6Umc6ReqRd,161454214.0
$DFCS6Umc6ReqWr,55311668.0
$DFCS7Umc7ReqRd,164318666.0
$DFCS7Umc7ReqWr,56505160.0
