Metric Name,Cumulative
$TSC,288794066176
$APerf,345202139960
$MPerf,288794692088
$CpuCycles,345193414562
$RetdInst,390952030972
$RetdBrInst,57258043744
$LoadDisp,216302821096
$StoreDisp,61050316419
$RetdUops,375233467582
$IRPerfL2,386485161549
$L2AccessWithoutPF,2756704447
$L2AccessFromICMiss,194497931
$L2AccessFromDCMiss,2531307046
$L2PFHitinL2,214028957
$L2PFMissL2HitinL3,113677950
$L2PFMissL2L3,1050244
$IRPerfL22,383984015286
$L2MissIC,18903125
$L2MissDC,184362151
$L2HitIC,173113236
$L2HitDC,2310868711
$L2HitWithoutPF,2512605327
$IRPerfL3,388594755294
$L3Clock,343382099004
$L3Access,365227601
$L3Miss,7969592
$L3MissLatency,387923997
$L3MissByType,9165283
$DFTscMem,286531825804
$DFCS0Umc0ReqRd,2398982
$DFCS0Umc0ReqWr,254651
$DFCS1Umc1ReqRd,1968938
$DFCS1Umc1ReqWr,252906
$DFCS2Umc2ReqRd,2334064
$DFCS2Umc2ReqWr,349330
$DFCS3Umc3ReqRd,2122099
$DFCS3Umc3ReqWr,345648
$DFCS4Umc4ReqRd,2014497
$DFCS4Umc4ReqWr,322818
$DFCS5Umc5ReqRd,2322295
$DFCS5Umc5ReqWr,326448
$DFCS6Umc6ReqRd,1428864
$DFCS6Umc6ReqWr,246056
$DFCS7Umc7ReqRd,1445364
$DFCS7Umc7ReqWr,246647
