Metric Name,Cumulative
Utilization (%),100.00
Eff Freq,3346.90
IPC (Sys + User),1.13
CPI (Sys + User),0.88
Pipeline Utilization (%),14.16
L2 Access (pti),7.98
L2 Access from IC Miss (pti),0.50
L2 Access from DC Miss (pti),6.55
L2 Access from HWPF (pti),0.85
L2 Miss (pti),0.83
L2 Miss from IC Miss (pti),0.05
L2 Miss from DC Miss (pti),0.48
L2 Miss from HWPF (pti),0.30
L2 Hit (pti),7.10
L2 Hit from IC Miss (pti),0.45
L2 Hit from DC Miss (pti),6.02
L2 Hit from HWPF (pti),0.55
L3 Access,365227601.00
L3 Miss,7969592.00
L3 Hit Rate (%),97.82
L3 Miss Rate (%),2.18
Ave L3 Miss Latency,677.21
Total Mem Bw (GB/s),0.01
Total Mem RdBw (GB/s),0.01
Total Mem WrBw (GB/s),0.00
Mem Ch-A RdBw (GB/s),0.00
Mem Ch-A WrBw (GB/s),0.00
Mem Ch-B RdBw (GB/s),0.00
Mem Ch-B WrBw (GB/s),0.00
Mem Ch-C RdBw (GB/s),0.00
Mem Ch-C WrBw (GB/s),0.00
Mem Ch-D RdBw (GB/s),0.00
Mem Ch-D WrBw (GB/s),0.00
Mem Ch-E RdBw (GB/s),0.00
Mem Ch-E WrBw (GB/s),0.00
Mem Ch-F RdBw (GB/s),0.00
Mem Ch-F WrBw (GB/s),0.00
Mem Ch-G RdBw (GB/s),0.00
Mem Ch-G WrBw (GB/s),0.00
Mem Ch-H RdBw (GB/s),0.00
Mem Ch-H WrBw (GB/s),0.00
