Metric Name,Cumulative
$TSC,2396673623988.0
$APerf,2797138294098.0
$MPerf,2341122649012.0
$CpuCycles,2796731078017.0
$RetdInst,4775304745139.0
$RetdBrInst,681063700708.0
$LoadDisp,2010408151025.0
$StoreDisp,384589731163.0
$RetdUops,4987459442894.0
$IRPerfL2,4221272715476.0
$L2AccessWithoutPF,41107113723.0
$L2AccessFromICMiss,503896580.0
$L2AccessFromDCMiss,34920285892.0
$L2PFHitinL2,7691248559.0
$L2PFMissL2HitinL3,1130561924.0
$L2PFMissL2L3,2041146643.0
$IRPerfL22,4008272133393.0
$L2MissIC,254089178.0
$L2MissDC,2309729480.0
$L2HitIC,231153222.0
$L2HitDC,31295372383.0
$L2HitWithoutPF,36796973535.0
$IRPerfL3,1569106404677.0
$L3Clock,934724414774.0
$L3Access,6831405800.0
$L3Miss,2949499440.0
$L3MissLatency,109614181078.0
$L3MissByType,2960130756.0
$DFTscMem,97659308348.0
$DFCS0Umc0ReqRd,385526573.0
$DFCS0Umc0ReqWr,20149476.0
$DFCS1Umc1ReqRd,385660529.0
$DFCS1Umc1ReqWr,20147046.0
$DFCS2Umc2ReqRd,355551268.0
$DFCS2Umc2ReqWr,15621589.0
$DFCS3Umc3ReqRd,355505943.0
$DFCS3Umc3ReqWr,15615403.0
$DFCS4Umc4ReqRd,380059723.0
$DFCS4Umc4ReqWr,20472620.0
$DFCS5Umc5ReqRd,381011301.0
$DFCS5Umc5ReqWr,20470510.0
$DFCS6Umc6ReqRd,252697013.0
$DFCS6Umc6ReqWr,8904153.0
$DFCS7Umc7ReqRd,256804181.0
$DFCS7Umc7ReqWr,9484032.0
